Diagnosed Diabetes; 65+ (Age); Adults Aged 20+ Years; Number; U.S. Counties; 2011
Data downloaded on 24-September-2023
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Loving County,Texas,48301,Suppressed,Suppressed,Suppressed
Kalawao County,Hawaii,15005,Suppressed,Suppressed,Suppressed
King County,Texas,48269,Suppressed,Suppressed,Suppressed
Kenedy County,Texas,48261,10,7,14
Yakutat City and Borough,Alaska,02282,11,7,15
Skagway Municipality,Alaska,02230,12,8,17
San Juan County,Colorado,08111,13,11,16
Petroleum County,Montana,30069,13,9,19
Bristol Bay Borough,Alaska,02060,15,10,21
Mcpherson County,Nebraska,31117,18,13,24
Denali Borough,Alaska,02068,19,13,27
Arthur County,Nebraska,31005,20,15,25
Borden County,Texas,48033,21,14,28
Lake and Peninsula Borough,Alaska,02164,22,15,32
Hinsdale County,Colorado,08053,23,17,30
Treasure County,Montana,30103,23,17,32
Mineral County,Colorado,08079,24,18,31
Slope County,North Dakota,38087,24,17,33
Roberts County,Texas,48393,25,17,34
Clark County,Idaho,16033,26,18,35
Golden Valley County,Montana,30037,26,22,32
Glasscock County,Texas,48173,26,19,36
Blaine County,Nebraska,31009,27,20,34
Thomas County,Nebraska,31171,27,19,36
Billings County,North Dakota,38007,27,20,35
Aleutians East Borough,Alaska,02013,28,19,37
Sterling County,Texas,48431,29,21,40
Loup County,Nebraska,31115,30,22,38
Buffalo County,South Dakota,46017,30,23,37
Wibaux County,Montana,30109,31,24,41
Logan County,Nebraska,31113,31,25,37
Mcmullen County,Texas,48311,31,22,42
Harding County,New Mexico,35021,32,22,43
Alpine County,California,06003,33,24,45
Grant County,Nebraska,31075,33,27,39
Wheeler County,Nebraska,31183,33,22,42
Terrell County,Texas,48443,33,23,46
Garfield County,Montana,30033,34,25,47
Esmeralda County,Nevada,32009,34,23,47
Kent County,Texas,48263,34,24,46
Camas County,Idaho,16025,35,26,47
Carter County,Montana,30011,36,26,50
Jackson County,Colorado,08057,37,26,48
Harding County,South Dakota,46063,37,27,48
Aleutians West Census Area,Alaska,02016,39,26,54
Kiowa County,Colorado,08061,39,29,49
Jones County,South Dakota,46075,40,29,52
Hooker County,Nebraska,31091,42,31,53
Ziebach County,South Dakota,46137,42,30,56
Oldham County,Texas,48359,42,29,57
Banner County,Nebraska,31007,43,32,55
Greeley County,Kansas,20071,44,29,59
Issaquena County,Mississippi,28055,44,32,59
Hoonah-Angoon Census Area,Alaska,02105,45,30,62
Prairie County,Montana,30079,46,32,64
Irion County,Texas,48235,46,30,65
Haines Borough,Alaska,02100,47,32,64
Cheyenne County,Colorado,08017,47,33,60
Keya Paha County,Nebraska,31103,47,35,61
Eureka County,Nevada,32011,48,34,66
Wallace County,Kansas,20199,49,35,69
Mccone County,Montana,30055,49,35,67
Hayes County,Nebraska,31085,50,39,60
Rock County,Nebraska,31149,50,36,65
Daggett County,Utah,49009,51,40,63
Wrangell City and Borough,Alaska,02275,52,35,71
Sully County,South Dakota,46119,52,38,69
Foard County,Texas,48155,53,37,71
Oliver County,North Dakota,38065,54,38,73
Motley County,Texas,48345,54,38,74
Petersburg Borough,Alaska,02195,55,38,78
Hamilton County,Kansas,20075,56,39,76
Sioux County,Nebraska,31165,56,41,75
Powder River County,Montana,30075,57,39,78
Culberson County,Texas,48109,57,40,77
Briscoe County,Texas,48045,58,40,78
Dolores County,Colorado,08033,59,42,77
Stanton County,Kansas,20187,59,41,79
Daniels County,Montana,30019,59,42,77
Cottle County,Texas,48101,59,39,82
Judith Basin County,Montana,30045,60,41,79
Reagan County,Texas,48383,60,41,80
Stonewall County,Texas,48433,60,42,83
Dillingham Census Area,Alaska,02070,62,43,86
Liberty County,Montana,30051,62,43,86
Golden Valley County,North Dakota,38033,62,47,82
Wheatland County,Montana,30107,64,44,85
Sioux County,North Dakota,38085,64,45,88
Armstrong County,Texas,48011,64,43,87
Wade Hampton Census Area,Alaska,02270,65,43,88
Lane County,Kansas,20101,65,45,88
Sherman County,Oregon,41055,65,48,85
Hyde County,South Dakota,46069,65,51,80
Throckmorton County,Texas,48447,66,46,89
Taliaferro County,Georgia,13265,67,47,88
Wichita County,Kansas,20203,67,47,92
