Diagnosed Diabetes; Female (Gender); Adults Aged 20+ Years; Crude Number; U.S. Counties; 2020
Data downloaded on 24-September-2023
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Bedford City,Virginia,51515,No Data,No Data,No Data
Shannon County,South Dakota,46113,No Data,No Data,No Data
Wrangell-Petersburg Census Area,Alaska,02280,No Data,No Data,No Data
Wade Hampton Census Area,Alaska,02270,No Data,No Data,No Data
Valdez-Cordova Census Area,Alaska,02261,No Data,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,02232,No Data,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,02201,No Data,No Data,No Data
Loving County,Texas,48301,Suppressed,Suppressed,Suppressed
Kalawao County,Hawaii,15005,Suppressed,Suppressed,Suppressed
King County,Texas,48269,Suppressed,Suppressed,Suppressed
Kenedy County,Texas,48261,11,7,18
Arthur County,Nebraska,31005,14,8,22
Blaine County,Nebraska,31009,15,8,25
Mcpherson County,Nebraska,31117,16,9,24
Petroleum County,Montana,30069,18,10,30
Yakutat City and Borough,Alaska,02282,21,12,32
Grant County,Nebraska,31075,21,12,32
Borden County,Texas,48033,22,12,37
San Juan County,Colorado,08111,23,13,36
Clark County,Idaho,16033,23,13,36
Hooker County,Nebraska,31091,23,13,36
Mcmullen County,Texas,48311,23,13,36
Treasure County,Montana,30103,25,13,41
Banner County,Nebraska,31007,25,14,39
Thomas County,Nebraska,31171,25,14,40
Slope County,North Dakota,38087,25,14,41
Roberts County,Texas,48393,25,13,40
Terrell County,Texas,48443,25,14,40
Logan County,Nebraska,31113,26,15,40
Wheeler County,Nebraska,31183,26,15,41
Harding County,New Mexico,35021,27,16,42
Billings County,North Dakota,38007,27,16,42
Kent County,Texas,48263,27,14,42
Bristol Bay Borough,Alaska,02060,29,20,41
Skagway Municipality,Alaska,02230,29,17,49
Hinsdale County,Colorado,08053,30,17,48
Mineral County,Colorado,08079,30,17,50
Greeley County,Kansas,20071,30,17,46
Esmeralda County,Nevada,32009,30,16,47
Daggett County,Utah,49009,30,17,48
Golden Valley County,Montana,30037,31,18,49
Hayes County,Nebraska,31085,31,18,48
Jones County,South Dakota,46075,31,17,52
Wibaux County,Montana,30109,33,18,53
Keya Paha County,Nebraska,31103,33,20,50
Loup County,Nebraska,31115,33,19,50
Glasscock County,Texas,48173,33,18,54
Sterling County,Texas,48431,33,19,53
Sioux County,Nebraska,31165,36,19,60
Harding County,South Dakota,46063,36,21,57
Camas County,Idaho,16025,37,20,62
Alpine County,California,06003,38,21,60
Carter County,Montana,30011,38,22,59
Garfield County,Montana,30033,38,22,61
Prairie County,Montana,30079,40,22,61
Foard County,Texas,48155,41,24,66
Sully County,South Dakota,46119,42,24,65
Lake and Peninsula Borough,Alaska,02164,43,24,66
Wallace County,Kansas,20199,43,25,67
Issaquena County,Mississippi,28055,43,25,67
Motley County,Texas,48345,43,25,71
Campbell County,South Dakota,46021,45,24,75
Hyde County,South Dakota,46069,45,28,70
Stonewall County,Texas,48433,47,26,79
Denali Borough,Alaska,02068,48,28,75
Irion County,Texas,48235,48,26,76
Jackson County,Colorado,08057,49,29,76
Cottle County,Texas,48101,49,26,80
Lane County,Kansas,20101,50,30,78
Briscoe County,Texas,48045,50,28,79
Piute County,Utah,49031,50,29,78
Kiowa County,Colorado,08061,51,29,85
Mccone County,Montana,30055,51,28,77
Oliver County,North Dakota,38065,52,31,80
Throckmorton County,Texas,48447,52,30,79
Stanton County,Kansas,20187,53,32,85
Clark County,Kansas,20025,54,31,83
Eureka County,Nevada,32011,55,32,86
Rich County,Utah,49033,55,30,94
Cheyenne County,Colorado,08017,56,32,90
Deuel County,Nebraska,31049,56,33,91
Hodgeman County,Kansas,20083,57,34,88
Wheeler County,Oregon,41069,58,32,93
Judith Basin County,Montana,30045,60,35,95
Faulk County,South Dakota,46049,60,35,95
Armstrong County,Texas,48011,60,33,97
Oldham County,Texas,48359,60,33,97
Comanche County,Kansas,20033,61,35,98
Garden County,Nebraska,31069,61,34,93
Sherman County,Oregon,41055,61,36,96
Meagher County,Montana,30059,62,37,96
Hamilton County,Kansas,20075,63,37,99
Sheridan County,North Dakota,38083,63,38,95
Edwards County,Texas,48137,63,35,108
Daniels County,Montana,30019,64,38,98
Logan County,North Dakota,38047,64,39,97
Renville County,North Dakota,38075,64,37,100
Haakon County,South Dakota,46055,64,42,97
Dundy County,Nebraska,31057,65,40,97
Wichita County,Kansas,20203,66,40,99
Burke County,North Dakota,38013,66,39,100
Golden Valley County,North Dakota,38033,66,41,103
Cimarron County,Oklahoma,40025,66,34,104
Gosper County,Nebraska,31073,67,40,103
Rock County,Nebraska,31149,67,44,97
Fallon County,Montana,30025,68,38,105
Wheatland County,Montana,30107,68,36,111
Gilliam County,Oregon,41021,68,37,110
Buffalo County,South Dakota,46017,68,44,98
Culberson County,Texas,48109,68,40,108
Dickens County,Texas,48125,68,38,111
Worth County,Missouri,29227,69,39,111
De Baca County,New Mexico,35011,70,41,110
Steele County,North Dakota,38091,70,42,101
Dolores County,Colorado,08033,71,38,118
Jerauld County,South Dakota,46073,71,39,115
Robertson County,Kentucky,21201,72,41,118
Kidder County,North Dakota,38043,72,42,112
Hoonah-Angoon Census Area,Alaska,02105,73,41,114
Garfield County,Nebraska,31071,73,46,108
Towner County,North Dakota,38095,73,46,116
Miner County,South Dakota,46097,73,41,116
Taliaferro County,Georgia,13265,74,40,117
Griggs County,North Dakota,38039,74,44,111
Mcpherson County,South Dakota,46089,74,42,120
Greeley County,Nebraska,31077,75,48,112
Niobrara County,Wyoming,56027,75,44,113
Boyd County,Nebraska,31015,76,46,114
Bowman County,North Dakota,38011,76,43,117
Divide County,North Dakota,38023,76,46,115
Sherman County,Texas,48421,76,43,125
Sedgwick County,Colorado,08115,77,46,124
Sheridan County,Kansas,20179,77,43,124
Mellette County,South Dakota,46095,77,53,107
Sanborn County,South Dakota,46111,77,43,119
Adams County,North Dakota,38001,78,48,119
Hettinger County,North Dakota,38041,78,47,121
Cochran County,Texas,48079,78,44,122
Graham County,Kansas,20065,79,44,126
Harmon County,Oklahoma,40057,79,46,123
Schleicher County,Texas,48413,80,45,132
Eddy County,North Dakota,38027,81,50,123
Menard County,Texas,48327,81,45,135
Liberty County,Montana,30051,82,49,128
Reagan County,Texas,48383,82,43,143
Copper River Census Area,Alaska,02066,83,46,131
Keweenaw County,Michigan,26083,83,47,132
Morton County,Kansas,20129,84,49,126
Aurora County,South Dakota,46003,84,48,130
Wayne County,Utah,49055,84,51,130
Collingsworth County,Texas,48087,85,47,133
Rawlins County,Kansas,20153,86,49,136
Lipscomb County,Texas,48295,86,50,136
Powder River County,Montana,30075,87,53,126
Perkins County,Nebraska,31135,87,54,128
Potter County,South Dakota,46107,87,50,138
Kiowa County,Kansas,20097,88,51,138
Highland County,Virginia,51091,88,48,145
Logan County,Kansas,20109,90,52,136
Frontier County,Nebraska,31063,90,57,137
Garfield County,Washington,53023,90,62,128
Hanson County,South Dakota,46061,91,52,141
Perkins County,South Dakota,46105,91,56,138
Chase County,Kansas,20017,92,52,143
Stanley County,South Dakota,46117,93,52,143
Upton County,Texas,48461,93,51,153
Haines Borough,Alaska,02100,94,61,138
Butte County,Idaho,16023,94,58,140
Pawnee County,Nebraska,31133,94,57,140
Grant County,North Dakota,38037,94,57,142
Concho County,Texas,48095,94,54,149
Douglas County,South Dakota,46043,95,50,160
Hemphill County,Texas,48211,95,52,157
Gove County,Kansas,20063,96,56,143
Crockett County,Texas,48105,96,51,158
Decatur County,Kansas,20039,99,58,153
Petersburg Borough,Alaska,02195,100,60,153
Wrangell City and Borough,Alaska,02275,100,64,150
Hall County,Texas,48191,101,58,161
Jeff Davis County,Texas,48243,101,57,161
Cheyenne County,Kansas,20023,102,61,158
Webster County,Georgia,13307,103,64,161
Glascock County,Georgia,13125,104,62,166
Franklin County,Nebraska,31061,104,61,157
Crowley County,Colorado,08025,105,61,169
Harlan County,Nebraska,31083,105,62,159
Johnson County,Nebraska,31097,105,65,160
Harper County,Oklahoma,40059,105,65,164
Clark County,South Dakota,46025,106,65,161
Shackelford County,Texas,48417,106,60,174
Sierra County,California,06091,107,58,171
Quitman County,Georgia,13239,108,62,166
Chautauqua County,Kansas,20019,108,63,164
Granite County,Montana,30039,108,65,163
Crane County,Texas,48103,108,61,178
Echols County,Georgia,13101,109,63,168
Rush County,Kansas,20165,109,65,167
Sutton County,Texas,48435,109,59,167
