Diagnosed Diabetes; Male (Gender); Adults Aged 20+ Years; Crude Number; U.S. Counties; 2007
Data downloaded on 24-September-2023
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Oglala Lakota County,South Dakota,46102,No Data,No Data,No Data
Wrangell City and Borough,Alaska,02275,No Data,No Data,No Data
Skagway Municipality,Alaska,02230,No Data,No Data,No Data
Prince of Wales-Hyder Census Area,Alaska,02198,No Data,No Data,No Data
Petersburg Borough,Alaska,02195,No Data,No Data,No Data
Kusilvak Census Area,Alaska,02158,No Data,No Data,No Data
Hoonah-Angoon Census Area,Alaska,02105,No Data,No Data,No Data
Loving County,Texas,48301,Suppressed,Suppressed,Suppressed
Kalawao County,Hawaii,15005,Suppressed,Suppressed,Suppressed
King County,Texas,48269,Suppressed,Suppressed,Suppressed
Arthur County,Nebraska,31005,10,7,15
Kenedy County,Texas,48261,12,8,18
San Juan County,Colorado,08111,13,8,19
Petroleum County,Montana,30069,14,10,20
Mcpherson County,Nebraska,31117,14,9,20
Blaine County,Nebraska,31009,16,11,24
Yakutat City and Borough,Alaska,02282,18,12,28
Thomas County,Nebraska,31171,19,12,26
Loup County,Nebraska,31115,21,14,30
Borden County,Texas,48033,21,14,29
Treasure County,Montana,30103,22,14,31
Slope County,North Dakota,38087,22,14,32
Hinsdale County,Colorado,08053,23,15,33
Grant County,Nebraska,31075,23,16,32
Bristol Bay Borough,Alaska,02060,25,16,37
Mineral County,Colorado,08079,25,16,37
Banner County,Nebraska,31007,26,17,36
Hooker County,Nebraska,31091,26,17,36
Logan County,Nebraska,31113,26,18,37
Wheeler County,Nebraska,31183,26,17,38
Harding County,New Mexico,35021,27,18,39
Billings County,North Dakota,38007,27,18,37
Clark County,Idaho,16033,28,19,40
Esmeralda County,Nevada,32009,28,18,41
Kent County,Texas,48263,28,20,40
Roberts County,Texas,48393,28,19,40
Keya Paha County,Nebraska,31103,29,20,40
Wibaux County,Montana,30109,30,20,41
Golden Valley County,Montana,30037,32,22,46
Camas County,Idaho,16025,33,23,45
Alpine County,California,06003,34,24,49
Kiowa County,Colorado,08061,34,23,50
Mcmullen County,Texas,48311,34,24,48
Daggett County,Utah,49009,35,23,49
Lake and Peninsula Borough,Alaska,02164,36,22,54
Jackson County,Colorado,08057,36,25,50
Harding County,South Dakota,46063,36,24,51
Jones County,South Dakota,46075,36,25,50
Hayes County,Nebraska,31085,37,27,52
Prairie County,Montana,30079,38,25,53
Terrell County,Texas,48443,38,26,53
Cheyenne County,Colorado,08017,40,25,59
Greeley County,Kansas,20071,40,27,57
Garfield County,Montana,30033,40,26,56
Glasscock County,Texas,48173,41,25,59
Carter County,Montana,30011,42,29,61
Sioux County,Nebraska,31165,42,28,57
Sully County,South Dakota,46119,42,29,58
Sterling County,Texas,48431,42,29,58
Denali Borough,Alaska,02068,43,28,62
Piute County,Utah,49031,43,28,59
Dolores County,Colorado,08033,44,28,63
Wheeler County,Oregon,41069,46,31,64
Eureka County,Nevada,32011,48,32,69
Foard County,Texas,48155,48,32,70
Golden Valley County,North Dakota,38033,49,31,69
Campbell County,South Dakota,46021,49,34,68
Motley County,Texas,48345,49,33,69
Wallace County,Kansas,20199,50,34,68
Haines Borough,Alaska,02100,52,31,78
Powder River County,Montana,30075,52,36,78
Sheridan County,North Dakota,38083,52,35,72
Hyde County,South Dakota,46069,53,37,74
Briscoe County,Texas,48045,54,36,79
Rock County,Nebraska,31149,55,38,76
Buffalo County,South Dakota,46017,55,38,75
Stonewall County,Texas,48433,55,38,75
Meagher County,Montana,30059,56,37,80
Sedgwick County,Colorado,08115,57,38,82
Wheatland County,Montana,30107,57,38,81
Mellette County,South Dakota,46095,57,39,79
Oliver County,North Dakota,38065,58,38,84
Edwards County,Texas,48137,58,38,82
Oldham County,Texas,48359,58,38,81
Daniels County,Montana,30019,60,40,86
Mccone County,Montana,30055,60,40,84
Irion County,Texas,48235,60,39,86
Rich County,Utah,49033,60,38,88
Liberty County,Montana,30051,61,41,88
Hodgeman County,Kansas,20083,62,42,89
Deuel County,Nebraska,31049,62,41,88
Garfield County,Nebraska,31071,62,42,85
Sherman County,Oregon,41055,62,41,90
Stanton County,Kansas,20187,63,43,89
Garden County,Nebraska,31069,63,42,86
Gilliam County,Oregon,41021,63,42,87
Cottle County,Texas,48101,63,43,88
Lane County,Kansas,20101,64,44,90
Steele County,North Dakota,38091,64,43,93
Jerauld County,South Dakota,46073,64,44,87
Comanche County,Kansas,20033,65,44,89
Throckmorton County,Texas,48447,65,44,92
Gosper County,Nebraska,31073,67,48,92
Clark County,Kansas,20025,68,47,96
Wichita County,Kansas,20203,70,46,99
De Baca County,New Mexico,35011,70,48,99
Logan County,North Dakota,38047,70,46,100
Ziebach County,South Dakota,46137,70,50,94
Worth County,Missouri,29227,71,48,100
Judith Basin County,Montana,30045,71,45,99
Dundy County,Nebraska,31057,71,49,97
Faulk County,South Dakota,46049,71,49,97
Haakon County,South Dakota,46055,71,51,95
Armstrong County,Texas,48011,71,47,99
Niobrara County,Wyoming,56027,71,49,99
Hamilton County,Kansas,20075,72,47,102
Burke County,North Dakota,38013,72,49,105
Wayne County,Utah,49055,73,47,106
Divide County,North Dakota,38023,75,49,102
Eddy County,North Dakota,38027,75,50,105
Kidder County,North Dakota,38043,75,50,111
Towner County,North Dakota,38095,75,51,105
Sanborn County,South Dakota,46111,75,52,108
Fallon County,Montana,30025,76,52,110
Adams County,North Dakota,38001,76,52,107
Griggs County,North Dakota,38039,76,50,110
Boyd County,Nebraska,31015,77,52,110
Jeff Davis County,Texas,48243,79,55,110
Aleutians East Borough,Alaska,02013,80,51,115
Morton County,Kansas,20129,80,55,111
Culberson County,Texas,48109,80,54,110
Taliaferro County,Georgia,13265,81,58,111
Webster County,Georgia,13307,81,55,113
Robertson County,Kentucky,21201,81,56,109
Frontier County,Nebraska,31063,81,56,113
Stanley County,South Dakota,46117,81,56,109
Sherman County,Texas,48421,82,56,115
Chase County,Kansas,20017,84,56,117
Sioux County,North Dakota,38085,84,53,119
Glascock County,Georgia,13125,85,54,124
Butte County,Idaho,16023,85,58,118
Issaquena County,Mississippi,28055,85,59,117
