Diagnosed Diabetes; Total (Total); Adults Aged 20+ Years; Crude Number; U.S. Counties; 2016
Data downloaded on 24-September-2023
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Bedford City,Virginia,51515,No Data,No Data,No Data
Shannon County,South Dakota,46113,No Data,No Data,No Data
Wrangell-Petersburg Census Area,Alaska,02280,No Data,No Data,No Data
Wade Hampton Census Area,Alaska,02270,No Data,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,02232,No Data,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,02201,No Data,No Data,No Data
Loving County,Texas,48301,Suppressed,Suppressed,Suppressed
Kalawao County,Hawaii,15005,12,7,17
King County,Texas,48269,17,10,26
Kenedy County,Texas,48261,26,16,40
Arthur County,Nebraska,31005,28,18,42
Mcpherson County,Nebraska,31117,35,21,53
Blaine County,Nebraska,31009,37,24,52
Petroleum County,Montana,30069,39,25,58
Thomas County,Nebraska,31171,44,27,65
Borden County,Texas,48033,47,29,72
Yakutat City and Borough,Alaska,02282,48,30,73
Clark County,Idaho,16033,49,31,75
Grant County,Nebraska,31075,49,29,72
Loup County,Nebraska,31115,51,32,75
San Juan County,Colorado,08111,53,34,79
Hooker County,Nebraska,31091,53,34,76
Treasure County,Montana,30103,55,35,82
Mcmullen County,Texas,48311,55,35,81
Kent County,Texas,48263,56,36,82
Roberts County,Texas,48393,56,35,81
Logan County,Nebraska,31113,57,35,81
Slope County,North Dakota,38087,57,37,82
Billings County,North Dakota,38007,58,36,90
Banner County,Nebraska,31007,59,38,84
Hinsdale County,Colorado,08053,60,37,91
Harding County,New Mexico,35021,61,35,94
Terrell County,Texas,48443,61,37,91
Golden Valley County,Montana,30037,62,40,93
Mineral County,Colorado,08079,63,41,92
Keya Paha County,Nebraska,31103,65,39,97
Wheeler County,Nebraska,31183,65,42,97
Hayes County,Nebraska,31085,66,41,98
Esmeralda County,Nevada,32009,68,40,104
Jones County,South Dakota,46075,68,42,102
Wibaux County,Montana,30109,71,44,104
Bristol Bay Borough,Alaska,02060,74,51,102
Skagway Municipality,Alaska,02230,74,44,110
Sterling County,Texas,48431,74,46,113
Camas County,Idaho,16025,76,47,116
Sioux County,Nebraska,31165,76,47,110
Glasscock County,Texas,48173,78,44,119
Daggett County,Utah,49009,79,51,116
Harding County,South Dakota,46063,81,48,119
Greeley County,Kansas,20071,84,53,119
Alpine County,California,06003,88,54,132
Carter County,Montana,30011,91,59,133
Motley County,Texas,48345,92,57,138
Sully County,South Dakota,46119,93,57,138
Hyde County,South Dakota,46069,94,60,137
Lake and Peninsula Borough,Alaska,02164,95,65,136
Prairie County,Montana,30079,96,66,137
Foard County,Texas,48155,96,58,142
Kiowa County,Colorado,08061,97,63,142
Sheridan County,North Dakota,38083,97,60,151
Cottle County,Texas,48101,98,60,147
Garfield County,Montana,30033,99,62,142
Issaquena County,Mississippi,28055,100,66,142
Irion County,Texas,48235,100,61,159
Stonewall County,Texas,48433,100,62,149
Piute County,Utah,49031,104,68,151
Briscoe County,Texas,48045,106,65,161
Jackson County,Colorado,08057,108,71,151
Wallace County,Kansas,20199,109,71,157
Campbell County,South Dakota,46021,110,65,168
Throckmorton County,Texas,48447,111,68,169
Cheyenne County,Colorado,08017,113,75,164
Oldham County,Texas,48359,118,71,180
Sherman County,Oregon,41055,120,71,184
Wheeler County,Oregon,41069,122,74,177
Golden Valley County,North Dakota,38033,123,81,175
Stanton County,Kansas,20187,124,81,177
Dundy County,Nebraska,31057,124,80,181
Haakon County,South Dakota,46055,126,75,183
Armstrong County,Texas,48011,127,76,186
Lane County,Kansas,20101,128,83,181
Eureka County,Nevada,32011,128,81,189
Denali Borough,Alaska,02068,129,82,189
Daniels County,Montana,30019,129,81,192
Rock County,Nebraska,31149,129,85,182
Logan County,North Dakota,38047,129,78,187
Buffalo County,South Dakota,46017,130,89,180
Meagher County,Montana,30059,131,84,185
Powder River County,Montana,30075,132,91,188
Burke County,North Dakota,38013,134,87,196
Jerauld County,South Dakota,46073,134,82,210
Mccone County,Montana,30055,135,91,188
Gosper County,Nebraska,31073,135,86,201
Garfield County,Nebraska,31071,136,84,194
Comanche County,Kansas,20033,137,87,199
Rich County,Utah,49033,138,89,208
Edwards County,Texas,48137,141,90,212
Dickens County,Texas,48125,143,89,212
Niobrara County,Wyoming,56027,143,86,209
Taliaferro County,Georgia,13265,144,89,211
Gilliam County,Oregon,41021,146,92,223
Sanborn County,South Dakota,46111,147,84,217
Culberson County,Texas,48109,148,90,234
Hodgeman County,Kansas,20083,149,102,208
Deuel County,Nebraska,31049,150,95,208
Steele County,North Dakota,38091,150,99,207
Dolores County,Colorado,08033,151,92,216
Hamilton County,Kansas,20075,152,100,221
Mellette County,South Dakota,46095,152,109,208
Robertson County,Kentucky,21201,153,96,223
De Baca County,New Mexico,35011,153,100,223
Oliver County,North Dakota,38065,154,99,225
Miner County,South Dakota,46097,155,91,223
Cimarron County,Oklahoma,40025,156,104,230
Faulk County,South Dakota,46049,157,97,232
Kiowa County,Kansas,20097,158,98,232
Worth County,Missouri,29227,158,100,229
Cochran County,Texas,48079,158,95,251
Judith Basin County,Montana,30045,159,99,227
Clark County,Kansas,20025,160,106,223
Garden County,Nebraska,31069,163,112,228
Renville County,North Dakota,38075,163,106,236
Divide County,North Dakota,38023,165,111,229
Harmon County,Oklahoma,40057,166,107,247
Sheridan County,Kansas,20179,168,105,254
Greeley County,Nebraska,31077,169,115,236
Sherman County,Texas,48421,169,102,254
Wichita County,Kansas,20203,170,117,236
Towner County,North Dakota,38095,170,114,246
Butte County,Idaho,16023,171,109,240
Menard County,Texas,48327,172,106,255
Wheatland County,Montana,30107,173,111,252
Pawnee County,Nebraska,31133,174,114,251
Mcintosh County,North Dakota,38051,174,112,252
Wayne County,Utah,49055,174,110,251
Schleicher County,Texas,48413,175,105,266
Collingsworth County,Texas,48087,177,103,271
Reagan County,Texas,48383,177,113,266
Frontier County,Nebraska,31063,181,120,255
Bowman County,North Dakota,38011,182,121,256
Mcpherson County,South Dakota,46089,182,115,267
Griggs County,North Dakota,38039,183,110,265
Hettinger County,North Dakota,38041,183,119,258
Stanley County,South Dakota,46117,187,117,275
Sedgwick County,Colorado,08115,188,124,266
Upton County,Texas,48461,188,118,274
Chase County,Kansas,20017,189,117,272
Morton County,Kansas,20129,189,121,275
Keweenaw County,Michigan,26083,190,126,275
Lipscomb County,Texas,48295,192,115,290
Highland County,Virginia,51091,193,121,290
Eddy County,North Dakota,38027,194,128,283
Kidder County,North Dakota,38043,194,129,280
Liberty County,Montana,30051,195,129,279
Perkins County,Nebraska,31135,195,132,274
Hoonah-Angoon Census Area,Alaska,02105,196,124,281
Adams County,North Dakota,38001,196,136,267
Glascock County,Georgia,13125,197,121,298
Cheyenne County,Kansas,20023,197,126,284
Haines Borough,Alaska,02100,198,133,279
Fallon County,Montana,30025,198,124,280
Rawlins County,Kansas,20153,199,132,286
Potter County,South Dakota,46107,199,121,309
Jackson County,South Dakota,46071,200,143,256
Grant County,North Dakota,38037,203,137,298
Jeff Davis County,Texas,48243,204,124,304
Hemphill County,Texas,48211,205,128,311
Logan County,Kansas,20109,207,134,301
Franklin County,Nebraska,31061,207,131,296
Hand County,South Dakota,46059,208,129,323
Crockett County,Texas,48105,208,124,315
Echols County,Georgia,13101,209,130,309
Douglas County,South Dakota,46043,209,129,300
Garfield County,Washington,53023,209,159,271
Hall County,Texas,48191,210,121,319
Shackelford County,Texas,48417,213,128,322
Wrangell City and Borough,Alaska,02275,214,143,292
Graham County,Kansas,20065,214,148,304
Webster County,Georgia,13307,215,140,306
Quitman County,Georgia,13239,217,141,310
Perkins County,South Dakota,46105,217,137,317
Boyd County,Nebraska,31015,219,159,296
Hitchcock County,Nebraska,31087,219,149,302
Gove County,Kansas,20063,220,144,313
Kearny County,Kansas,20093,220,145,323
Lincoln County,Kansas,20105,221,144,318
Hanson County,South Dakota,46061,225,146,324
Haskell County,Kansas,20081,226,147,320
Crane County,Texas,48103,226,130,346
Sutton County,Texas,48435,228,143,337
Foster County,North Dakota,38031,229,148,321
Hudspeth County,Texas,48229,229,144,346
Edwards County,Kansas,20047,230,145,330
Bennett County,South Dakota,46007,231,168,301
Petersburg Borough,Alaska,02195,232,144,357
Rush County,Kansas,20165,232,150,322
Donley County,Texas,48129,234,148,350
Knox County,Texas,48275,236,141,342
Harper County,Oklahoma,40059,238,154,348
Norton City,Virginia,51720,238,152,351
