Diagnosed Diabetes; 45-64 (Age); Adults Aged 20+ Years; Percentage; U.S. Counties; 2013
Data downloaded on 24-October-2023
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Gallatin County,Montana,30031,5.8,4.2,7.6
Summit County,Utah,49043,5.8,4.1,7.6
Routt County,Colorado,08107,5.9,3.9,8.5
Eagle County,Colorado,08037,6.1,3.9,8.8
Elbert County,Colorado,08039,6.2,4.3,8.4
Jefferson County,Colorado,08059,6.3,5.1,7.6
Boulder County,Colorado,08013,6.4,4.8,8.1
Scott County,Minnesota,27139,6.4,4.3,9.2
Santa Fe County,New Mexico,35049,6.4,5.1,8
Teton County,Wyoming,56039,6.5,4.6,9.2
Archuleta County,Colorado,08007,6.7,4.2,10.4
Blaine County,Idaho,16013,6.7,4.3,9.9
Arlington County,Virginia,51013,6.7,4.5,9.4
Summit County,Colorado,08117,6.8,4.3,10.1
Teller County,Colorado,08119,6.8,4.6,10
Missoula County,Montana,30063,6.8,5.2,8.5
Garfield County,Colorado,08045,6.9,4.7,9.9
Johnson County,Iowa,19103,6.9,4.8,9.6
Douglas County,Colorado,08035,7,5.3,9
Hunterdon County,New Jersey,34019,7,5.3,8.9
Litchfield County,Connecticut,09005,7.1,5.2,9.1
Winneshiek County,Iowa,19191,7.1,4.4,10.6
Chaffee County,Colorado,08015,7.2,4.8,10.3
La Plata County,Colorado,08067,7.2,4.9,9.8
Larimer County,Colorado,08069,7.2,5.5,9.4
Nevada County,California,06057,7.3,4.5,11.1
Powder River County,Montana,30075,7.3,4.2,11.2
Gunnison County,Colorado,08051,7.4,4.4,10.9
Pitkin County,Colorado,08097,7.4,4.4,11.1
Barber County,Kansas,20007,7.5,4.6,11.4
Sherburne County,Minnesota,27141,7.5,5,10.6
Hamilton County,Nebraska,31081,7.5,4.8,11
Arapahoe County,Colorado,08005,7.6,6.2,9.3
Los Alamos County,New Mexico,35028,7.6,4.8,11.1
Ontario County,New York,36069,7.6,4.6,11.2
Dukes County,Massachusetts,25007,7.7,4.3,11.8
Douglas County,Nevada,32005,7.7,5.4,10.4
Waukesha County,Wisconsin,55133,7.7,5,11
Juneau City and Borough,Alaska,02110,7.8,5.7,10.4
Anderson County,Kansas,20003,7.8,4.8,12
Blue Earth County,Minnesota,27013,7.8,4.9,11.4
Douglas County,Minnesota,27041,7.8,4.7,11.7
Butler County,Nebraska,31023,7.8,5.2,11
Cuming County,Nebraska,31039,7.8,5.3,10.7
Holt County,Nebraska,31089,7.8,5.2,10.9
Humboldt County,Nevada,32013,7.8,4.9,11.4
Montgomery County,Pennsylvania,42091,7.8,5.9,10.2
Windham County,Vermont,50025,7.8,6,9.8
San Juan County,Washington,53055,7.8,4.7,11.1
Grand County,Colorado,08049,7.9,4.6,12.3
Montrose County,Colorado,08085,7.9,5.4,10.9
Ouray County,Colorado,08091,7.9,4.5,12.7
Gilchrist County,Florida,12041,7.9,5.6,10.6
Bonner County,Idaho,16017,7.9,5.3,10.8
Cherry County,Nebraska,31031,7.9,5.6,10.3
Lincoln County,Wyoming,56023,7.9,5.6,10.6
Marin County,California,06041,8,5.4,11.4
Huerfano County,Colorado,08055,8,5,11.9
Chouteau County,Montana,30015,8,4.7,12.2
Flathead County,Montana,30029,8,6.1,10.4
Park County,Montana,30067,8,5.6,11.5
Lincoln County,New Mexico,35027,8,5.3,11.5
Mchenry County,North Dakota,38049,8,4.8,12.7
Chittenden County,Vermont,50007,8,6.4,9.6
Taylor County,Wisconsin,55119,8,4.8,11.9
Broomfield County,Colorado,08014,8.1,5.5,12.1
Custer County,Colorado,08027,8.1,4.8,12.4
Guthrie County,Iowa,19077,8.1,4.7,12.7
Wabaunsee County,Kansas,20197,8.1,5.1,11.8
Hampshire County,Massachusetts,25015,8.1,5.8,10.7
Charlevoix County,Michigan,26029,8.1,5,12.3
Wabasha County,Minnesota,27157,8.1,5,12.8
Beaverhead County,Montana,30001,8.1,5,12
Madison County,Montana,30057,8.1,4.8,11.9
Sioux County,Nebraska,31165,8.1,4.8,13
Wayne County,Nebraska,31179,8.1,5.5,11.6
Jackson County,Colorado,08057,8.2,4.8,13
Park County,Colorado,08093,8.2,5.4,11.9
Yuma County,Colorado,08125,8.2,5.1,11.9
Collier County,Florida,12021,8.2,6,10.8
Cumberland County,Maine,23005,8.2,6.8,9.7
Camden County,Missouri,29029,8.2,5.1,12.4
Slope County,North Dakota,38087,8.2,4.5,12.6
Fairfax County,Virginia,51059,8.2,6.2,10.6
Park County,Wyoming,56029,8.2,6.1,10.8
Moffat County,Colorado,08081,8.3,5.6,11.8
Monroe County,Florida,12087,8.3,5.9,11
Allamakee County,Iowa,19005,8.3,4.9,12.8
Clayton County,Iowa,19043,8.3,4.9,12.6
Grant County,Minnesota,27051,8.3,4.5,12.9
Swift County,Minnesota,27151,8.3,4.9,12.7
Morris County,New Jersey,34027,8.3,6.6,10
Emmet County,Michigan,26047,8.4,5.6,11.9
Faribault County,Minnesota,27043,8.4,5,12.8
Houston County,Minnesota,27055,8.4,5.2,12.4
Ravalli County,Montana,30081,8.4,5.9,11.4
Cedar County,Nebraska,31027,8.4,5.9,11.4
Catron County,New Mexico,35003,8.4,5,13.2
Kidder County,North Dakota,38043,8.4,5.1,13.4
Alexandria City,Virginia,51510,8.4,5.6,11.6
Fairfax City,Virginia,51600,8.4,5.6,11.7
Niobrara County,Wyoming,56027,8.4,5.1,12.4
San Miguel County,Colorado,08113,8.5,4.7,13.3
Knox County,Maine,23013,8.5,6.5,11.1
Leelanau County,Michigan,26089,8.5,5.4,12.6
Carver County,Minnesota,27019,8.5,5.6,11.7
Dakota County,Minnesota,27037,8.5,6.8,10.4
Lincoln County,Minnesota,27081,8.5,4.8,13.6
Waseca County,Minnesota,27161,8.5,4.9,13.2
Watonwan County,Minnesota,27165,8.5,4.7,13.9
Garfield County,Montana,30033,8.5,4.7,13.6
Judith Basin County,Montana,30045,8.5,5,13.7
Richland County,Montana,30083,8.5,5.4,12.3
Cheyenne County,Nebraska,31033,8.5,5.7,11.7
Saunders County,Nebraska,31155,8.5,5.8,12.1
Union County,New Mexico,35059,8.5,5.1,13.3
Hood River County,Oregon,41027,8.5,5.3,13.2
Platte County,Wyoming,56031,8.5,5.7,12
Denali Borough,Alaska,02068,8.6,4.9,13.2
Delta County,Colorado,08029,8.6,5.9,11.7
Rio Blanco County,Colorado,08103,8.6,5.3,13
Tolland County,Connecticut,09013,8.6,6.7,10.6
Valley County,Idaho,16085,8.6,5.1,13.2
Clinton County,Illinois,17027,8.6,5,13.4
Iowa County,Iowa,19095,8.6,5.6,12.6
Wright County,Iowa,19197,8.6,5.2,13.4
Marion County,Kansas,20115,8.6,5.6,12.2
Jefferson County,Montana,30043,8.6,5.4,12.7
Mcintosh County,North Dakota,38051,8.6,5.2,13.7
