Diagnosed Diabetes; 65+ (Age); Adults Aged 20+ Years; Percentage; U.S. Counties; 2012
Data downloaded on 24-October-2023
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Boulder County,Colorado,08013,10.5,8.5,12.7
Douglas County,Colorado,08035,10.5,8.4,13.1
Missoula County,Montana,30063,10.6,8.7,12.4
Routt County,Colorado,08107,11,8,14.2
Summit County,Utah,49043,11.2,8.7,14
Elbert County,Colorado,08039,11.3,8.6,14.4
La Plata County,Colorado,08067,11.3,8.8,14.3
Pitkin County,Colorado,08097,11.3,7.6,15.5
Summit County,Colorado,08117,11.5,8.2,15.2
Gallatin County,Montana,30031,11.5,9,14.2
Archuleta County,Colorado,08007,11.6,8.2,15.9
Santa Fe County,New Mexico,35049,11.8,9.9,13.8
Haines Borough,Alaska,02100,11.9,8.2,16.4
Denali Borough,Alaska,02068,12,8.1,17.5
Jefferson County,Colorado,08059,12,10.5,13.8
Lake County,Colorado,08065,12,8,16.8
Ouray County,Colorado,08091,12,8.7,16.1
Park County,Colorado,08093,12,8.7,15.6
Eagle County,Colorado,08037,12.1,9,15.8
Larimer County,Colorado,08069,12.2,10,14.8
Valdez-Cordova Census Area,Alaska,02261,12.3,8.6,16.8
Grand County,Colorado,08049,12.3,8.5,16.8
Dakota County,Minnesota,27037,12.3,10.1,14.6
San Miguel County,Colorado,08113,12.5,8.7,16.9
Teton County,Wyoming,56039,12.5,9.2,16.2
Southeast Fairbanks Census Area,Alaska,02240,12.6,9.1,17.2
Nevada County,California,06057,12.6,8.8,16.8
Jackson County,Colorado,08057,12.6,8.4,17.8
Mineral County,Colorado,08079,12.6,8.3,17.4
Teller County,Colorado,08119,12.6,9.4,16.4
Skagway Municipality,Alaska,02230,12.7,8.5,18.4
Gunnison County,Colorado,08051,12.7,8.9,17.7
Lincoln County,Minnesota,27081,12.7,9.3,17.1
Fairfax County,Virginia,51059,12.7,10.3,15.1
Cheyenne County,Colorado,08017,12.8,9,17.3
Custer County,Colorado,08027,12.8,9.2,17
Huerfano County,Colorado,08055,12.8,8.8,17.1
Montezuma County,Colorado,08083,12.8,9.8,16.6
Saguache County,Colorado,08109,12.8,9.1,18
Polk County,Minnesota,27119,12.8,9.2,17
Bethel Census Area,Alaska,02050,13,9.5,16.9
Hinsdale County,Colorado,08053,13,8.8,18.1
Montrose County,Colorado,08085,13,9.8,16.6
Madison County,Montana,30057,13,9.3,17.1
Kearney County,Nebraska,31099,13,9,17.2
Hunterdon County,New Jersey,34019,13,10.8,15.6
San Juan County,Washington,53055,13,9.9,17
Sublette County,Wyoming,56035,13,9.6,17
Kenai Peninsula Borough,Alaska,02122,13.1,10.7,16.1
Sonoma County,California,06097,13.1,10.5,15.9
Garfield County,Colorado,08045,13.1,9.9,16.6
Las Animas County,Colorado,08071,13.1,9.1,17.3
Yuma County,Colorado,08125,13.1,9.4,17.4
Stevens County,Minnesota,27149,13.1,9,18.3
Petersburg Borough,Alaska,02195,13.2,9,18.6
Marin County,California,06041,13.2,10.2,16.5
Bent County,Colorado,08011,13.2,9.2,17.8
Clearwater County,Minnesota,27029,13.2,10,17.2
Addison County,Vermont,50001,13.2,10.7,16
Wrangell City and Borough,Alaska,02275,13.3,9,18.9
Sedgwick County,Colorado,08115,13.3,9.4,18.2
Washington County,Colorado,08121,13.3,9.1,18.5
Litchfield County,Connecticut,09005,13.3,10.6,16.1
Park County,Montana,30067,13.3,9.9,16.9
Dane County,Wisconsin,55025,13.3,9.8,17.3
Hoonah-Angoon Census Area,Alaska,02105,13.4,9.2,18.4
Juneau City and Borough,Alaska,02110,13.4,10.3,16.8
Rio Blanco County,Colorado,08103,13.4,9.6,18.2
Becker County,Minnesota,27005,13.4,9.7,17.6
Lewis And Clark County,Montana,30049,13.4,10.9,16.1
Clark County,South Dakota,46025,13.4,9.8,17.5
Borden County,Texas,48033,13.4,11.3,15.7
Fairbanks North Star Borough,Alaska,02090,13.5,10.9,16.1
Kandiyohi County,Minnesota,27067,13.5,9.5,17.7
Waseca County,Minnesota,27161,13.5,9.3,18.6
Phillips County,Colorado,08095,13.6,9.5,18.6
Olmsted County,Minnesota,27109,13.6,10.3,17.2
Santa Cruz County,California,06087,13.7,10.4,17.7
San Juan County,Colorado,08111,13.7,9,19.3
Hawaii County,Hawaii,15001,13.7,12,15.7
Big Stone County,Minnesota,27011,13.7,9.4,19.2
Dodge County,Minnesota,27039,13.7,9.3,18.8
Douglas County,Minnesota,27041,13.7,10.2,17.8
Freeborn County,Minnesota,27047,13.7,10.8,17.2
Houston County,Minnesota,27055,13.7,9.7,19
Lac Qui Parle County,Minnesota,27073,13.7,9.7,18.6
Otter Tail County,Minnesota,27111,13.7,10.4,17.2
Pipestone County,Minnesota,27117,13.7,9.2,18.7
Granite County,Montana,30039,13.7,9.3,19.5
Powder River County,Montana,30075,13.7,9.7,18.5
Sweet Grass County,Montana,30097,13.7,9.9,18.5
Wheatland County,Montana,30107,13.7,9.5,18.9
Chittenden County,Vermont,50007,13.7,11.7,15.8
Chaffee County,Colorado,08015,13.8,10.7,17.5
Crowley County,Colorado,08025,13.8,9.4,18.7
Blue Earth County,Minnesota,27013,13.8,10.3,17.8
Fillmore County,Minnesota,27045,13.8,9.9,19
Red Lake County,Minnesota,27125,13.8,9.7,19.3
Wabasha County,Minnesota,27157,13.8,10,19
Cuming County,Nebraska,31039,13.8,10.5,18
Holt County,Nebraska,31089,13.8,10.1,17.1
Lawrence County,South Dakota,46081,13.8,11,16.7
Grand Isle County,Vermont,50013,13.8,10.1,17.9
Taylor County,Wisconsin,55119,13.8,9.9,18.7
Waukesha County,Wisconsin,55133,13.8,10,17.7
Yukon-Koyukuk Census Area,Alaska,02290,13.9,9.6,18.4
Santa Barbara County,California,06083,13.9,10.8,17.3
Gilpin County,Colorado,08047,13.9,9.7,19.1
Grant County,Minnesota,27051,13.9,9.3,19.2
Hubbard County,Minnesota,27057,13.9,10.2,18.5
Norman County,Minnesota,27107,13.9,9.9,19.2
Winona County,Minnesota,27169,13.9,10.2,17.8
Garfield County,Montana,30033,13.9,9.7,18.9
Jefferson County,Montana,30043,13.9,9.5,18.3
Musselshell County,Montana,30065,13.9,10.1,18.8
Antelope County,Nebraska,31003,13.9,10.8,17.4
Hamilton County,Nebraska,31081,13.9,9.9,18.3
Caldwell County,Texas,48055,13.9,9.9,18.6
Carver County,Minnesota,27019,14,10.5,18
Cook County,Minnesota,27031,14,10.6,18.2
Cottonwood County,Minnesota,27033,14,9.6,19.3
Jackson County,Minnesota,27063,14,10.4,18.1
Wilkin County,Minnesota,27167,14,9.1,19.3
Platte County,Nebraska,31141,14,11.4,17.2
Sioux County,Nebraska,31165,14,9.8,18.6
Washington County,Utah,49053,14,11.2,16.7
Siskiyou County,California,06093,14.1,10.1,19.2
Baca County,Colorado,08009,14.1,9.9,19.4
Story County,Iowa,19169,14.1,11,17.8
Hampshire County,Massachusetts,25015,14.1,11.1,17.1
Faribault County,Minnesota,27043,14.1,9.7,19.7
Hennepin County,Minnesota,27053,14.1,12.9,15.4
Mcleod County,Minnesota,27085,14.1,10.3,18.7
Murray County,Minnesota,27101,14.1,10,19
Pope County,Minnesota,27121,14.1,9.8,19
Renville County,Minnesota,27129,14.1,9.6,19.1
Clay County,Nebraska,31035,14.1,10.7,18.2
Seward County,Nebraska,31159,14.1,11.1,17.6
Lamoille County,Vermont,50015,14.1,11,17.6
Prince of Wales-Hyder Census Area,Alaska,02198,14.2,9.9,20.1
Clear Creek County,Colorado,08019,14.2,10.2,19.1
Brown County,Minnesota,27015,14.2,10.1,18.8
Redwood County,Minnesota,27127,14.2,10,20.2
Watonwan County,Minnesota,27165,14.2,9.9,19.5
Daniels County,Montana,30019,14.2,10.5,19.2
Ravalli County,Montana,30081,14.2,10.7,18
Buffalo County,Nebraska,31019,14.2,11.6,16.9
Edmunds County,South Dakota,46045,14.2,9.7,19.8
Portage County,Wisconsin,55097,14.2,10.2,19
