Diagnosed Diabetes; Female (Gender); Adults Aged 20+ Years; Crude Percentage; U.S. Counties; 2006
Data downloaded on 24-October-2023
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Oglala Lakota County,South Dakota,46102,No Data,No Data,No Data
Wrangell City and Borough,Alaska,02275,No Data,No Data,No Data
Skagway Municipality,Alaska,02230,No Data,No Data,No Data
Prince of Wales-Hyder Census Area,Alaska,02198,No Data,No Data,No Data
Petersburg Borough,Alaska,02195,No Data,No Data,No Data
Kusilvak Census Area,Alaska,02158,No Data,No Data,No Data
Hoonah-Angoon Census Area,Alaska,02105,No Data,No Data,No Data
Summit County,Colorado,08117,3.1,2,4.7
Eagle County,Colorado,08037,3.2,2,4.7
Douglas County,Colorado,08035,3.5,2.6,4.9
Gunnison County,Colorado,08051,3.5,2.2,4.9
Routt County,Colorado,08107,3.5,2.1,5.1
Teton County,Wyoming,56039,3.5,2.4,4.8
Broomfield County,Colorado,08014,3.6,2.3,5.2
Summit County,Utah,49043,3.6,2.6,4.8
Garfield County,Colorado,08045,3.8,2.6,5.6
La Plata County,Colorado,08067,3.8,2.5,5.5
San Miguel County,Colorado,08113,3.8,2.5,5.8
Grand County,Colorado,08049,3.9,2.6,5.7
Lake County,Colorado,08065,3.9,2.6,5.6
Larimer County,Colorado,08069,3.9,2.9,5
Pitkin County,Colorado,08097,3.9,2.5,5.7
Wright County,Minnesota,27171,3.9,2.6,5.6
Gallatin County,Montana,30031,3.9,2.9,4.9
Elbert County,Colorado,08039,4,2.6,5.7
Washington County,Minnesota,27163,4,2.9,5.5
Albany County,Wyoming,56001,4,3,5.2
Boulder County,Colorado,08013,4.1,3.2,5.2
Gilpin County,Colorado,08047,4.1,2.7,5.8
Park County,Colorado,08093,4.1,2.7,6.2
Carver County,Minnesota,27019,4.1,2.8,6
Brookings County,South Dakota,46011,4.1,2.9,5.4
Lincoln County,South Dakota,46083,4.1,2.9,5.6
Weld County,Colorado,08123,4.2,3.1,5.3
Scott County,Minnesota,27139,4.2,2.7,5.8
Santa Fe County,New Mexico,35049,4.2,3.3,5.1
Denali Borough,Alaska,02068,4.3,2.9,6.4
Fairbanks North Star Borough,Alaska,02090,4.3,3.3,5.3
Alamosa County,Colorado,08003,4.3,2.8,6.1
Clear Creek County,Colorado,08019,4.3,2.8,6.1
Wasatch County,Utah,49051,4.3,3,5.7
Matanuska-Susitna Borough,Alaska,02170,4.4,3.2,6
Archuleta County,Colorado,08007,4.4,2.8,6.6
Moffat County,Colorado,08081,4.4,2.9,6.2
San Juan County,Colorado,08111,4.5,2.8,6.5
Teller County,Colorado,08119,4.5,3.1,6.1
Blaine County,Idaho,16013,4.5,2.9,6.3
Benton County,Minnesota,27009,4.5,2.9,6.4
Flathead County,Montana,30029,4.5,3.6,5.7
Morgan County,Colorado,08087,4.6,3.1,6.6
Madison County,Idaho,16065,4.6,3,6.6
Clay County,Minnesota,27027,4.6,3.1,6.5
Elko County,Nevada,32007,4.6,3.1,6.5
Loudoun County,Virginia,51107,4.6,3.3,6.3
Denver County,Colorado,08031,4.7,3.9,5.6
El Paso County,Colorado,08041,4.7,3.9,5.7
Montrose County,Colorado,08085,4.7,3.2,6.7
Saguache County,Colorado,08109,4.7,3.2,6.8
Douglas County,Kansas,20045,4.7,3.7,6.1
Hennepin County,Minnesota,27053,4.7,3.8,5.7
Utah County,Utah,49049,4.7,3.8,5.8
Grand Isle County,Vermont,50013,4.7,3.3,6.5
Arapahoe County,Colorado,08005,4.8,3.9,5.8
Jefferson County,Colorado,08059,4.8,3.9,5.8
Rio Blanco County,Colorado,08103,4.8,3.1,6.7
Story County,Iowa,19169,4.8,3.5,6.3
Olmsted County,Minnesota,27109,4.8,3.2,6.9
Benton County,Oregon,41003,4.8,3.6,6
Brazos County,Texas,48041,4.8,3.3,6.9
Chittenden County,Vermont,50007,4.8,4.1,5.5
Harrisonburg City,Virginia,51660,4.8,3.2,6.9
Washington County,Wisconsin,55131,4.8,3.3,6.7
Southeast Fairbanks Census Area,Alaska,02240,4.9,3.3,7
Mesa County,Colorado,08077,4.9,3.7,6.4
Otero County,Colorado,08089,4.9,3.4,7.1
Dallas County,Iowa,19049,4.9,3.4,6.5
Johnson County,Iowa,19103,4.9,3.5,6.5
Johnson County,Kansas,20091,4.9,4.3,5.7
Windham County,Vermont,50025,4.9,3.9,6.1
St. Croix County,Wisconsin,55109,4.9,3.5,7
Juneau City and Borough,Alaska,02110,5,3.5,6.6
Sitka City and Borough,Alaska,02220,5,3.4,7.1
Valdez-Cordova Census Area,Alaska,02261,5,3.4,7
Chaffee County,Colorado,08015,5,3.4,7.3
Dolores County,Colorado,08033,5,3.2,7.4
Logan County,Colorado,08075,5,3.4,7
Ouray County,Colorado,08091,5,3.3,7.1
Rio Grande County,Colorado,08105,5,3.2,7.6
Hamilton County,Indiana,18057,5,3.9,6.5
Riley County,Kansas,20161,5,3.8,6.6
Bernalillo County,New Mexico,35001,5,4.4,5.9
Clay County,South Dakota,46027,5,3.5,7
Hays County,Texas,48209,5,3.5,6.9
Whitman County,Washington,53075,5,4,6.2
Crowley County,Colorado,08025,5.1,3.2,7.2
Fremont County,Colorado,08043,5.1,3.3,7.2
Kit Carson County,Colorado,08063,5.1,3.3,7.6
Mineral County,Colorado,08079,5.1,3.2,7.5
Latah County,Idaho,16057,5.1,3.7,6.8
Crow Wing County,Minnesota,27035,5.1,3.5,7
Dakota County,Minnesota,27037,5.1,3.9,6.8
Le Sueur County,Minnesota,27079,5.1,3.3,7.4
Rice County,Minnesota,27131,5.1,3.4,7
Sherburne County,Minnesota,27141,5.1,3.4,7.2
Boone County,Missouri,29019,5.1,3.8,6.9
Missoula County,Montana,30063,5.1,3.9,6.4
Los Alamos County,New Mexico,35028,5.1,3.6,7.1
Cache County,Utah,49005,5.1,3.7,6.6
Davis County,Utah,49011,5.1,4,6.4
Stafford County,Virginia,51179,5.1,3.6,7.2
Alexandria City,Virginia,51510,5.1,3.6,6.8
Sheboygan County,Wisconsin,55117,5.1,3.5,7
Waukesha County,Wisconsin,55133,5.1,3.9,6.9
Aleutians West Census Area,Alaska,02016,5.2,3.3,7.7
