Diagnosed Diabetes; Male (Gender); Adults Aged 20+ Years; Crude Percentage; U.S. Counties; 2016
Data downloaded on 24-October-2023
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Bedford City,Virginia,51515,No Data,No Data,No Data
Shannon County,South Dakota,46113,No Data,No Data,No Data
Wrangell-Petersburg Census Area,Alaska,02280,No Data,No Data,No Data
Wade Hampton Census Area,Alaska,02270,No Data,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,02232,No Data,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,02201,No Data,No Data,No Data
Chattahoochee County,Georgia,13053,3.8,2.3,5.9
Teton County,Wyoming,56039,4.2,2.9,5.9
Eagle County,Colorado,08037,4.5,3.1,6.3
Riley County,Kansas,20161,4.5,3.4,5.7
Arlington County,Virginia,51013,4.5,3.3,6.1
Summit County,Utah,49043,4.8,3.6,6.3
Boulder County,Colorado,08013,4.9,4,5.9
Denver County,Colorado,08031,5.4,4.5,6.2
Gallatin County,Montana,30031,5.4,4.2,7
Douglas County,Colorado,08035,5.5,4.5,6.7
Johnson County,Iowa,19103,5.5,4,7.2
Larimer County,Colorado,08069,5.6,4.5,6.8
Gunnison County,Colorado,08051,5.8,3.7,8.2
Routt County,Colorado,08107,5.8,3.9,8.2
Summit County,Colorado,08117,5.8,3.8,8.3
Story County,Iowa,19169,5.8,4.3,7.6
La Salle County,Texas,48283,5.9,3.7,9.2
Fairbanks North Star Borough,Alaska,02090,6,4.8,7.4
La Plata County,Colorado,08067,6,4.4,8
Clay County,South Dakota,46027,6,3.8,9.1
Frio County,Texas,48163,6,3.6,9.1
Chittenden County,Vermont,50007,6,4.9,7.1
Garfield County,Colorado,08045,6.1,4.3,8.5
Douglas County,Kansas,20045,6.1,5,7.5
Pulaski County,Missouri,29169,6.1,4.1,9
Garza County,Texas,48169,6.1,3.6,9.8
Cache County,Utah,49005,6.1,4.9,7.4
Loudoun County,Virginia,51107,6.1,4.6,7.9
Geary County,Kansas,20061,6.2,4.6,8.1
Centre County,Pennsylvania,42027,6.2,4.5,8.2
Brookings County,South Dakota,46011,6.2,5,7.5
Childress County,Texas,48075,6.2,3.8,9.8
Reeves County,Texas,48389,6.2,3.9,9.7
Alexandria City,Virginia,51510,6.2,4.5,8.3
Harrisonburg City,Virginia,51660,6.2,3.9,9.1
Albany County,Wyoming,56001,6.2,4.7,7.8
Pitkin County,Colorado,08097,6.3,3.9,9.1
Latah County,Idaho,16057,6.3,4.8,8.4
Tompkins County,New York,36109,6.3,4.8,7.9
Onslow County,North Carolina,37133,6.3,4.4,8.6
Bee County,Texas,48025,6.3,3.9,9.6
Lexington City,Virginia,51678,6.3,4,9.4
Tippecanoe County,Indiana,18157,6.4,4.8,8.3
Wasatch County,Utah,49051,6.4,4.9,8
Albemarle County,Virginia,51003,6.4,4.5,8.8
Utah County,Utah,49049,6.5,5.6,7.4
Radford City,Virginia,51750,6.5,4,9.7
Dane County,Wisconsin,55025,6.5,4.8,8.3
Concho County,Texas,48095,6.6,4.1,10.4
Midland County,Texas,48329,6.6,4.3,9.5
Brown County,Illinois,17009,6.7,4,10.1
Blue Earth County,Minnesota,27013,6.7,4.8,8.9
Durham County,North Carolina,37063,6.7,4.7,9
Madison County,Texas,48313,6.7,4.1,10
Mitchell County,Texas,48335,6.7,4,10.3
Fairfax County,Virginia,51059,6.7,5.3,8.3
Manassas City,Virginia,51683,6.7,4.1,10.5
Bethel Census Area,Alaska,02050,6.8,4.6,9.4
San Francisco County,California,06075,6.8,5.1,9.1
Jefferson County,Colorado,08059,6.8,5.8,7.9
Monroe County,Indiana,18105,6.8,5,8.8
Clay County,Minnesota,27027,6.8,4.8,8.9
Karnes County,Texas,48255,6.8,4.2,10.3
Willacy County,Texas,48489,6.8,4.1,10.5
Whitman County,Washington,53075,6.8,5.1,8.8
Kusilvak Census Area,Alaska,02158,6.9,4.3,9.9
Toole County,Montana,30101,6.9,4.4,10.1
Orange County,North Carolina,37135,6.9,4.8,9.8
Benton County,Oregon,41003,6.9,4.8,9.1
Dawson County,Texas,48115,6.9,4,10.1
Montgomery County,Virginia,51121,6.9,5.1,9.2
Portage County,Wisconsin,55097,6.9,4.6,9.7
Stewart County,Georgia,13259,7,4.4,10.5
Teton County,Idaho,16081,7,4.4,10
Ellis County,Kansas,20051,7,4.9,9.3
New York County,New York,36061,7,6,8
Trousdale County,Tennessee,47169,7,4.4,10.9
Andrews County,Texas,48003,7,4.2,10.5
Kleberg County,Texas,48273,7,4.4,11
Charlottesville City,Virginia,51540,7,4.3,10.4
Coconino County,Arizona,04005,7.1,5.6,8.7
El Paso County,Colorado,08041,7.1,6.1,8.2
Blaine County,Idaho,16013,7.1,4.9,9.5
Madison County,Idaho,16065,7.1,5.1,9.4
Thomas County,Kansas,20193,7.1,4.6,10.6
Missoula County,Montana,30063,7.1,5.5,9.2
Santa Fe County,New Mexico,35049,7.1,5.8,8.8
Walker County,Texas,48471,7.1,4.3,10.4
Winkler County,Texas,48495,7.1,4.3,10.9
Williamsburg City,Virginia,51830,7.1,4.4,10.7
Arapahoe County,Colorado,08005,7.2,6.2,8.2
Broomfield County,Colorado,08014,7.2,5,9.7
District Of Columbia,District of Columbia,11001,7.2,6.6,7.8
Carver County,Minnesota,27019,7.2,5.2,9.7
Hennepin County,Minnesota,27053,7.2,6.5,8
Los Alamos County,New Mexico,35028,7.2,5,10.2
Watauga County,North Carolina,37189,7.2,4.7,10.7
Cass County,North Dakota,38017,7.2,6.1,8.4
Gaines County,Texas,48165,7.2,4.3,10.8
Ochiltree County,Texas,48357,7.2,4.1,11.2
Manassas Park City,Virginia,51685,7.2,4.7,10.6
Kittitas County,Washington,53037,7.2,5.1,9.6
Jefferson County,Wisconsin,55055,7.2,4.9,10.2
Yolo County,California,06113,7.3,5.2,10
Crowley County,Colorado,08025,7.3,4.7,10.6
Lancaster County,Nebraska,31109,7.3,6.3,8.4
Westchester County,New York,36119,7.3,6.1,8.7
Crane County,Texas,48103,7.3,4.2,11.2
Pecos County,Texas,48371,7.3,4.5,11
Reagan County,Texas,48383,7.3,4.6,11.2
Lamoille County,Vermont,50015,7.3,5.6,9.3
Nome Census Area,Alaska,02180,7.4,4.9,10.5
San Miguel County,Colorado,08113,7.4,4.9,10.5
Long County,Georgia,13183,7.4,4.7,10.6
Wheeler County,Georgia,13309,7.4,4.7,10.4
Dekalb County,Illinois,17037,7.4,5,10.3
Hudson County,New Jersey,34017,7.4,6.1,8.8
Stark County,North Dakota,38089,7.4,5.7,9.2
Brazos County,Texas,48041,7.4,6.1,8.7
Hartley County,Texas,48205,7.4,4.2,11.3
Val Verde County,Texas,48465,7.4,4.7,11
Zavala County,Texas,48507,7.4,4.3,11.2
Salt Lake County,Utah,49035,7.4,6.7,8.2
Lassen County,California,06035,7.5,4.7,10.8
Grand County,Colorado,08049,7.5,5,10.9
Lake County,Colorado,08065,7.5,4.9,10.4
Clarke County,Georgia,13059,7.5,5.1,10.3
Montgomery County,Maryland,24031,7.5,6.7,8.5
Buffalo County,Nebraska,31019,7.5,5.9,9.5
Bergen County,New Jersey,34003,7.5,6,9.4
Wake County,North Carolina,37183,7.5,6,9.2
Erath County,Texas,48143,7.5,4.5,11.5
Martin County,Texas,48317,7.5,4.4,11.7
Morgan County,Utah,49029,7.5,4.8,11
North Slope Borough,Alaska,02185,7.6,5,10.8
Monroe County,Florida,12087,7.6,5.9,9.4
Echols County,Georgia,13101,7.6,4.7,11.3
Jerome County,Idaho,16053,7.6,5.2,10.2
Houghton County,Michigan,26061,7.6,5,11.1
Rice County,Minnesota,27131,7.6,5.4,10
Boone County,Missouri,29019,7.6,5.6,9.9
Morris County,New Jersey,34027,7.6,6,9.3
Mchenry County,North Dakota,38049,7.6,5.1,10.6
Payne County,Oklahoma,40119,7.6,5.4,10.2
Davison County,South Dakota,46035,7.6,4.8,10.7
Lake County,Tennessee,47095,7.6,4.8,11.3
Parmer County,Texas,48369,7.6,4.5,12
Travis County,Texas,48453,7.6,6.5,8.8
Yoakum County,Texas,48501,7.6,4.7,11.5
Sanpete County,Utah,49039,7.6,5.8,9.8
Chelan County,Washington,53007,7.6,5.5,10.4
King County,Washington,53033,7.6,6.9,8.2
Anchorage Municipality,Alaska,02020,7.7,6.3,9.2
Weld County,Colorado,08123,7.7,6.4,9.2
Mclean County,Illinois,17113,7.7,5.2,10.8
