Diagnosed Diabetes; Total (Total); Adults Aged 20+ Years; Crude Percentage; U.S. Counties; 2010
Data downloaded on 24-October-2023
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Oglala Lakota County,South Dakota,46102,No Data,No Data,No Data
Wrangell-Petersburg Census Area,Alaska,02280,No Data,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,02232,No Data,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,02201,No Data,No Data,No Data
Kusilvak Census Area,Alaska,02158,No Data,No Data,No Data
Teton County,Wyoming,56039,3.6,2.4,4.9
Routt County,Colorado,08107,4,2.7,5.6
Summit County,Utah,49043,4,3,5.1
Eagle County,Colorado,08037,4.3,2.8,6.3
Gallatin County,Montana,30031,4.4,3.4,5.5
Summit County,Colorado,08117,4.6,3,6.8
Arlington County,Virginia,51013,4.6,3.2,6.4
Douglas County,Colorado,08035,4.7,3.6,5.8
Albany County,Wyoming,56001,4.7,3.6,6
Gunnison County,Colorado,08051,4.8,3.1,7
Blaine County,Idaho,16013,4.8,3.2,7
Chattahoochee County,Georgia,13053,4.9,2.9,7.5
Boulder County,Colorado,08013,5,3.9,6.2
Santa Fe County,New Mexico,35049,5.1,4,6.1
Elbert County,Colorado,08039,5.2,3.6,7.1
La Plata County,Colorado,08067,5.2,3.6,7
Madison County,Idaho,16065,5.2,3.7,7.2
Missoula County,Montana,30063,5.2,4.2,6.3
Lincoln County,South Dakota,46083,5.3,3.6,7.1
Clay County,South Dakota,46027,5.4,3.5,7.8
Larimer County,Colorado,08069,5.5,4.4,6.7
Kendall County,Illinois,17093,5.5,3.5,8
Johnson County,Iowa,19103,5.5,4,7.2
Brookings County,South Dakota,46011,5.5,4,7.2
Cache County,Utah,49005,5.5,4.2,7
Chittenden County,Vermont,50007,5.5,4.7,6.2
Harrisonburg City,Virginia,51660,5.5,3.5,8.6
Matanuska-Susitna Borough,Alaska,02170,5.6,3.8,7.7
Scott County,Minnesota,27139,5.6,3.9,7.7
Bristol County,Rhode Island,44001,5.6,4.1,7.3
Alexandria City,Virginia,51510,5.6,3.9,7.7
Dane County,Wisconsin,55025,5.6,4.1,7.4
Broomfield County,Colorado,08014,5.7,3.8,8.1
Story County,Iowa,19169,5.7,4.1,7.5
Hennepin County,Minnesota,27053,5.7,4.9,6.5
Boone County,Missouri,29019,5.7,4.1,7.8
Orange County,North Carolina,37135,5.7,4.4,7.3
Washington County,Oregon,41067,5.7,4.5,7
Charlottesville City,Virginia,51540,5.7,3.4,8.4
Pitkin County,Colorado,08097,5.8,3.7,8.3
Riley County,Kansas,20161,5.8,4.3,7.7
Wright County,Minnesota,27171,5.8,3.8,8.1
Utah County,Utah,49049,5.8,4.9,6.6
Montgomery County,Virginia,51121,5.8,3.8,8.4
Denver County,Colorado,08031,5.9,5,6.8
Jefferson County,Colorado,08059,5.9,5,6.9
Sioux County,Iowa,19167,5.9,3.9,8.5
Park County,Montana,30067,5.9,3.8,8.5
Collin County,Texas,48085,5.9,4.3,7.9
Radford City,Virginia,51750,5.9,3.7,8.7
San Juan County,Washington,53055,5.9,4.4,7.8
Juneau City and Borough,Alaska,02110,6,4.3,8
Arapahoe County,Colorado,08005,6,5.1,7
Douglas County,Kansas,20045,6,4.9,7.5
Seward County,Kansas,20175,6,4,8.7
Dakota County,Minnesota,27037,6,4.7,7.3
Somerset County,New Jersey,34035,6,4.7,7.3
Tompkins County,New York,36109,6,3.9,8.8
Centre County,Pennsylvania,42027,6,4.4,7.8
Coconino County,Arizona,04005,6.1,4.9,7.6
Marin County,California,06041,6.1,4.4,8.1
El Paso County,Colorado,08041,6.1,5.1,7
Teton County,Idaho,16081,6.1,3.7,10
Mchenry County,Illinois,17111,6.1,4.2,8.6
Pulaski County,Missouri,29169,6.1,3.8,9.3
Brazos County,Texas,48041,6.1,3.9,8.8
Wasatch County,Utah,49051,6.1,4.9,7.5
Santa Cruz County,California,06087,6.2,4.4,8.1
Monroe County,Florida,12087,6.2,4.9,7.8
Lafayette Parish,Louisiana,22055,6.2,4.8,8
Hampshire County,Massachusetts,25015,6.2,4.5,7.8
Benton County,Oregon,41003,6.2,4.5,8.3
Yamhill County,Oregon,41071,6.2,4.3,8.4
Waukesha County,Wisconsin,55133,6.2,4.2,8.5
Bethel Census Area,Alaska,02050,6.3,4.2,9.1
Garfield County,Colorado,08045,6.3,4.4,8.4
Flathead County,Montana,30029,6.3,5.2,7.5
Washington County,Rhode Island,44009,6.3,5.3,7.6
Manassas Park City,Virginia,51685,6.3,3.7,9.6
King County,Washington,53033,6.3,5.7,6.9
Kenai Peninsula Borough,Alaska,02122,6.4,4.9,8.2
San Francisco County,California,06075,6.4,5.1,7.8
Chaffee County,Colorado,08015,6.4,4.3,8.9
Mcdonough County,Illinois,17109,6.4,3.8,9.8
Roosevelt County,New Mexico,35041,6.4,4.2,8.9
Wake County,North Carolina,37183,6.4,5.2,7.6
Union County,South Dakota,46127,6.4,4.1,8.9
Frio County,Texas,48163,6.4,3.8,10
Davis County,Utah,49011,6.4,5.4,7.5
Windham County,Vermont,50025,6.4,5.1,7.8
Dunn County,Wisconsin,55033,6.4,4.2,9.3
Eau Claire County,Wisconsin,55035,6.4,4.3,9
Benton County,Arkansas,05007,6.5,5.2,8
Mono County,California,06051,6.5,3.9,10.2
San Luis Obispo County,California,06079,6.5,5,8.1
Grand County,Colorado,08049,6.5,4.2,9.7
Lake County,Illinois,17097,6.5,4.8,8.5
Los Alamos County,New Mexico,35028,6.5,4.3,9.1
Moore County,Texas,48341,6.5,3.9,10
Weld County,Colorado,08123,6.6,5.4,7.8
Fairfield County,Connecticut,09001,6.6,5.9,7.3
Alachua County,Florida,12001,6.6,5.3,8.2
Champaign County,Illinois,17019,6.6,4.7,9.1
Dekalb County,Illinois,17037,6.6,4.4,9.6
Whitley County,Indiana,18183,6.6,4.1,9.4
Lewis And Clark County,Montana,30049,6.6,5.2,8.2
Wayne County,Nebraska,31179,6.6,4.2,9.5
Washoe County,Nevada,32031,6.6,5.7,7.6
Cass County,North Dakota,38017,6.6,5.5,7.7
Grand Forks County,North Dakota,38035,6.6,5.2,8.3
Beadle County,South Dakota,46005,6.6,4.8,8.7
La Salle County,Texas,48283,6.6,4.1,10.1
Loudoun County,Virginia,51107,6.6,4.8,9.1
Walworth County,Wisconsin,55127,6.6,4.1,9.2
Sweetwater County,Wyoming,56037,6.6,5.3,8.1
Kodiak Island Borough,Alaska,02150,6.7,4.3,9.5
Skagway Municipality,Alaska,02230,6.7,3.9,10.5
Montezuma County,Colorado,08083,6.7,4.5,9.6
Gwinnett County,Georgia,13135,6.7,5,8.7
Latah County,Idaho,16057,6.7,5.2,8.4
Coles County,Illinois,17029,6.7,4.1,9.9
Johnson County,Kansas,20091,6.7,5.9,7.4
Scott County,Kentucky,21209,6.7,4.3,9.7
Howard County,Maryland,24027,6.7,5,8.5
Ramsey County,Minnesota,27123,6.7,5.6,7.8
Ravalli County,Montana,30081,6.7,4.9,9.1
Hunterdon County,New Jersey,34019,6.7,5.5,8.2
Bernalillo County,New Mexico,35001,6.7,5.8,7.6
Lawrence County,South Dakota,46081,6.7,5,8.9
Willacy County,Texas,48489,6.7,4,10.4
Wise County,Texas,48497,6.7,4.2,10.1
Addison County,Vermont,50001,6.7,5.3,8.2
Stafford County,Virginia,51179,6.7,4.5,9.6
Nevada County,California,06057,6.8,4.7,9.3
Adams County,Colorado,08001,6.8,5.8,7.8
Lake County,Colorado,08065,6.8,4,10.3
Mesa County,Colorado,08077,6.8,5.3,8.4
Bryan County,Georgia,13029,6.8,4.1,10.3
Oconee County,Georgia,13219,6.8,4.1,10.3
Dupage County,Illinois,17043,6.8,5.2,8.5
Boone County,Indiana,18011,6.8,4.4,9.7
Wayne County,Indiana,18177,6.8,4.8,9.1
Montgomery County,Maryland,24031,6.8,5.8,7.8
Isabella County,Michigan,26073,6.8,4.5,9.5
Christian County,Missouri,29043,6.8,4.3,10.1
Putnam County,New York,36079,6.8,4.3,9.9
Richland County,North Dakota,38077,6.8,4.6,9.2
Deschutes County,Oregon,41017,6.8,5,8.9
Minnehaha County,South Dakota,46099,6.8,5.7,7.9
