Obesity; 20-44 (Age); Adults Aged 20+ Years; Number; U.S. Counties; 2019
Data downloaded on 24-October-2023
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Kalawao County,Hawaii,15005,Suppressed,Suppressed,Suppressed
Loving County,Texas,48301,11,6,18
King County,Texas,48269,14,7,22
Mcpherson County,Nebraska,31117,21,13,32
Petroleum County,Montana,30069,23,14,37
Blaine County,Nebraska,31009,24,13,38
Kenedy County,Texas,48261,25,14,39
Arthur County,Nebraska,31005,28,16,45
Harding County,New Mexico,35021,28,15,43
Borden County,Texas,48033,29,16,46
Grant County,Nebraska,31075,33,20,52
Hooker County,Nebraska,31091,33,20,51
Loup County,Nebraska,31115,33,19,50
Kent County,Texas,48263,35,20,54
Yakutat City and Borough,Alaska,02282,36,21,54
Mcmullen County,Texas,48311,36,21,55
Mineral County,Colorado,08079,37,20,61
Terrell County,Texas,48443,37,21,60
Treasure County,Montana,30103,38,23,58
Banner County,Nebraska,31007,39,23,62
Logan County,Nebraska,31113,39,23,58
Jones County,South Dakota,46075,40,23,63
Hinsdale County,Colorado,08053,41,23,65
Golden Valley County,Montana,30037,41,23,66
San Juan County,Colorado,08111,42,22,74
Keya Paha County,Nebraska,31103,43,26,65
Thomas County,Nebraska,31171,43,25,62
Wheeler County,Nebraska,31183,43,26,65
Esmeralda County,Nevada,32009,43,24,69
Daggett County,Utah,49009,46,26,72
Prairie County,Montana,30079,47,27,72
Slope County,North Dakota,38087,48,29,73
Roberts County,Texas,48393,48,25,78
Wibaux County,Montana,30109,49,28,76
Foard County,Texas,48155,53,31,84
Hayes County,Nebraska,31085,54,33,82
Wheeler County,Oregon,41069,54,29,84
Clark County,Idaho,16033,55,32,87
Alpine County,California,06003,56,30,86
Motley County,Texas,48345,56,32,88
Garfield County,Montana,30033,60,33,98
Sheridan County,North Dakota,38083,60,36,92
Camas County,Idaho,16025,63,37,96
Bristol Bay Borough,Alaska,02060,64,40,95
Sioux County,Nebraska,31165,64,38,96
Stonewall County,Texas,48433,64,38,99
Carter County,Montana,30011,65,40,97
Campbell County,South Dakota,46021,66,37,102
Sully County,South Dakota,46119,66,36,102
Greeley County,Kansas,20071,68,40,107
Hyde County,South Dakota,46069,68,41,105
Cottle County,Texas,48101,68,39,107
Throckmorton County,Texas,48447,71,40,117
Piute County,Utah,49031,71,40,109
Billings County,North Dakota,38007,72,47,106
Kiowa County,Colorado,08061,76,43,119
Wallace County,Kansas,20199,76,42,124
Taliaferro County,Georgia,13265,78,45,121
Keweenaw County,Michigan,26083,80,45,124
Powder River County,Montana,30075,81,48,123
Sterling County,Texas,48431,81,46,122
Harding County,South Dakota,46063,82,45,133
Jackson County,Colorado,08057,84,47,131
Briscoe County,Texas,48045,85,46,135
Irion County,Texas,48235,86,46,135
Gilliam County,Oregon,41021,87,49,138
Edwards County,Texas,48137,87,48,139
Hodgeman County,Kansas,20083,89,50,140
Highland County,Virginia,51091,90,49,147
Logan County,North Dakota,38047,91,53,136
Rock County,Nebraska,31149,92,59,129
Comanche County,Kansas,20033,93,56,138
Menard County,Texas,48327,93,52,144
Judith Basin County,Montana,30045,94,55,140
Meagher County,Montana,30059,94,55,145
De Baca County,New Mexico,35011,94,53,140
Glasscock County,Texas,48173,95,48,153
Cimarron County,Oklahoma,40025,97,54,152
Issaquena County,Mississippi,28055,98,56,157
Armstrong County,Texas,48011,99,57,156
Quitman County,Georgia,13239,101,55,152
Haakon County,South Dakota,46055,101,60,154
Jerauld County,South Dakota,46073,101,54,169
Daniels County,Montana,30019,104,64,152
Mccone County,Montana,30055,104,62,157
Jeff Davis County,Texas,48243,105,56,168
Dolores County,Colorado,08033,106,61,161
Worth County,Missouri,29227,106,56,163
Sherman County,Oregon,41055,106,62,173
Hoonah-Angoon Census Area,Alaska,02105,107,61,158
Cheyenne County,Colorado,08017,107,60,172
Lane County,Kansas,20101,107,66,156
Golden Valley County,North Dakota,38033,107,59,165
Skagway Municipality,Alaska,02230,108,62,170
Steele County,North Dakota,38091,108,66,154
Deuel County,Nebraska,31049,109,62,164
Dundy County,Nebraska,31057,110,69,163
Gosper County,Nebraska,31073,111,68,162
Miner County,South Dakota,46097,111,64,171
Potter County,South Dakota,46107,111,64,169
Wheatland County,Montana,30107,112,68,169
Lake and Peninsula Borough,Alaska,02164,113,68,170
Robertson County,Kentucky,21201,113,63,179
Stanton County,Kansas,20187,114,66,178
Garden County,Nebraska,31069,114,70,167
Eureka County,Nevada,32011,114,67,179
Catron County,New Mexico,35003,115,72,165
Adams County,North Dakota,38001,115,71,171
Oliver County,North Dakota,38065,120,75,173
Culberson County,Texas,48109,123,71,191
Faulk County,South Dakota,46049,125,74,191
Sedgwick County,Colorado,08115,127,77,202
Webster County,Georgia,13307,127,68,193
Garfield County,Nebraska,31071,127,82,179
Eddy County,North Dakota,38027,127,83,183
Towner County,North Dakota,38095,127,79,182
Clark County,Kansas,20025,129,74,203
Wrangell City and Borough,Alaska,02275,131,79,195
Sierra County,California,06091,131,75,203
Elk County,Kansas,20049,131,83,191
Morton County,Kansas,20129,131,72,198
Oldham County,Texas,48359,131,73,203
Douglas County,South Dakota,46043,132,77,204
Mcpherson County,South Dakota,46089,132,76,200
Concho County,Texas,48095,134,75,206
Divide County,North Dakota,38023,135,81,198
Grant County,North Dakota,38037,135,86,192
Rawlins County,Kansas,20153,137,83,208
Garfield County,Washington,53023,137,95,188
Dickens County,Texas,48125,138,81,217
Cheyenne County,Kansas,20023,139,83,217
Kiowa County,Kansas,20097,139,81,219
Mcintosh County,North Dakota,38051,139,95,196
Rich County,Utah,49033,142,83,227
Griggs County,North Dakota,38039,143,91,205
Denali Borough,Alaska,02068,144,83,223
Gove County,Kansas,20063,145,87,224
Chase County,Kansas,20017,146,84,227
Sheridan County,Kansas,20179,147,88,218
Sanborn County,South Dakota,46111,147,83,232
Hall County,Texas,48191,148,76,236
Boyd County,Nebraska,31015,150,105,204
Decatur County,Kansas,20039,152,89,229
Harmon County,Oklahoma,40057,154,88,236
Graham County,Kansas,20065,155,92,229
Aurora County,South Dakota,46003,155,89,240
Hettinger County,North Dakota,38041,156,98,229
Haines Borough,Alaska,02100,157,101,229
Buffalo County,South Dakota,46017,157,99,227
Mellette County,South Dakota,46095,157,113,213
Liberty County,Montana,30051,159,91,233
Granite County,Montana,30039,160,97,244
Hamilton County,Kansas,20075,161,96,250
Jewell County,Kansas,20089,161,105,234
Ness County,Kansas,20135,161,101,231
Traverse County,Minnesota,27155,161,96,252
Sherman County,Nebraska,31163,161,103,224
Wichita County,Kansas,20203,163,105,225
Greeley County,Nebraska,31077,163,104,230
Real County,Texas,48385,163,92,256
Schleicher County,Texas,48413,163,90,266
Trego County,Kansas,20195,164,98,249
Baker County,Georgia,13007,165,92,256
Burke County,North Dakota,38013,165,109,239
Lincoln County,Kansas,20105,166,97,247
Emmons County,North Dakota,38029,167,105,245
Harlan County,Nebraska,31083,168,101,254
Clay County,Georgia,13061,169,102,257
Lake Of The Woods County,Minnesota,27077,170,99,266
Butte County,Idaho,16023,171,105,246
Shackelford County,Texas,48417,172,92,277
Wayne County,Utah,49055,173,106,252
Coke County,Texas,48081,174,91,274
Sherman County,Texas,48421,174,93,286
Chautauqua County,Kansas,20019,175,101,268
Collingsworth County,Texas,48087,175,102,278
Edwards County,Kansas,20047,176,111,257
Storey County,Nevada,32029,176,99,272
Brown County,Nebraska,31017,177,114,244
Franklin County,Nebraska,31061,177,113,258
Cochran County,Texas,48079,177,97,278
