Obesity; 65+ (Age); Adults Aged 20+ Years; Number; U.S. Counties; 2012
Data downloaded on 24-October-2023
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Loving County,Texas,48301,Suppressed,Suppressed,Suppressed
King County,Texas,48269,Suppressed,Suppressed,Suppressed
Kalawao County,Hawaii,15005,Suppressed,Suppressed,Suppressed
Kenedy County,Texas,48261,Suppressed,Suppressed,Suppressed
Yakutat City and Borough,Alaska,02282,15,10,20
Borden County,Texas,48033,18,12,25
San Juan County,Colorado,08111,20,17,23
Petroleum County,Montana,30069,20,13,27
Roberts County,Texas,48393,21,14,32
Skagway Municipality,Alaska,02230,22,16,30
Glasscock County,Texas,48173,22,14,31
Bristol Bay Borough,Alaska,02060,23,16,32
Mcpherson County,Nebraska,31117,23,17,29
Clark County,Idaho,16033,24,16,33
Mcmullen County,Texas,48311,24,16,34
Sterling County,Texas,48431,24,16,36
Slope County,North Dakota,38087,25,16,36
Terrell County,Texas,48443,26,16,39
Denali Borough,Alaska,02068,27,18,36
Blaine County,Nebraska,31009,28,19,36
Billings County,North Dakota,38007,29,22,38
Arthur County,Nebraska,31005,30,24,37
Thomas County,Nebraska,31171,30,22,42
Kent County,Texas,48263,30,20,44
Grant County,Nebraska,31075,32,27,37
Lake and Peninsula Borough,Alaska,02164,34,25,44
Hinsdale County,Colorado,08053,34,26,40
Mineral County,Colorado,08079,35,28,42
Loup County,Nebraska,31115,35,27,43
Buffalo County,South Dakota,46017,35,30,40
Oldham County,Texas,48359,35,21,52
Camas County,Idaho,16025,37,26,50
Harding County,New Mexico,35021,37,26,50
Issaquena County,Mississippi,28055,38,25,53
Treasure County,Montana,30103,38,28,49
Wheeler County,Nebraska,31183,38,27,50
Irion County,Texas,48235,38,23,57
Motley County,Texas,48345,41,26,62
Golden Valley County,Montana,30037,42,37,47
Aleutians East Borough,Alaska,02013,43,31,57
Jackson County,Colorado,08057,44,32,57
Taliaferro County,Georgia,13265,44,29,64
Foard County,Texas,48155,44,28,66
Logan County,Nebraska,31113,45,39,52
Ziebach County,South Dakota,46137,46,33,63
Culberson County,Texas,48109,46,30,65
Stonewall County,Texas,48433,46,32,68
Wibaux County,Montana,30109,47,39,57
Briscoe County,Texas,48045,47,30,68
Cottle County,Texas,48101,47,30,69
Alpine County,California,06003,49,36,63
Greeley County,Kansas,20071,49,33,70
Esmeralda County,Nevada,32009,49,36,63
Reagan County,Texas,48383,49,32,68
Throckmorton County,Texas,48447,50,32,74
Echols County,Georgia,13101,51,33,73
Armstrong County,Texas,48011,51,33,74
Oliver County,North Dakota,38065,55,36,77
Carter County,Montana,30011,56,39,76
Hooker County,Nebraska,31091,57,46,69
Edwards County,Texas,48137,57,38,83
Sherman County,Texas,48421,57,36,84
Chattahoochee County,Georgia,13053,58,37,86
Cochran County,Texas,48079,58,38,85
Garfield County,Montana,30033,59,42,78
Jones County,South Dakota,46075,59,49,69
Cheyenne County,Colorado,08017,60,45,75
Webster County,Georgia,13307,60,40,89
Banner County,Nebraska,31007,60,46,74
Eureka County,Nevada,32011,60,41,82
Sioux County,North Dakota,38085,60,41,82
Harding County,South Dakota,46063,60,49,73
Dickens County,Texas,48125,60,39,89
Schleicher County,Texas,48413,60,38,88
Glascock County,Georgia,13125,61,38,87
Upton County,Texas,48461,61,41,88
Wallace County,Kansas,20199,63,44,85
Sioux County,Nebraska,31165,63,42,87
Lipscomb County,Texas,48295,63,41,94
Daggett County,Utah,49009,63,50,76
Aleutians West Census Area,Alaska,02016,64,50,81
Kiowa County,Colorado,08061,64,52,78
Keya Paha County,Nebraska,31103,64,48,80
Sully County,South Dakota,46119,64,50,79
Hudspeth County,Texas,48229,64,42,98
Hemphill County,Texas,48211,66,40,98
Hayes County,Nebraska,31085,68,59,79
Sheridan County,North Dakota,38083,68,44,94
Collingsworth County,Texas,48087,68,43,99
Baker County,Georgia,13007,69,42,106
Golden Valley County,North Dakota,38033,70,49,94
Stanton County,Kansas,20187,71,48,98
Rock County,Nebraska,31149,71,56,88
Quitman County,Georgia,13239,72,47,103
Lane County,Kansas,20101,72,46,96
Crockett County,Texas,48105,72,46,107
Hoonah-Angoon Census Area,Alaska,02105,73,53,95
Hamilton County,Kansas,20075,73,54,93
Crane County,Texas,48103,74,48,103
Mccone County,Montana,30055,77,58,102
Shackelford County,Texas,48417,77,50,112
Dallam County,Texas,48111,78,51,111
Sutton County,Texas,48435,78,52,108
Haines Borough,Alaska,02100,79,55,111
Concho County,Texas,48095,79,52,116
Wrangell City and Borough,Alaska,02275,81,57,112
Prairie County,Montana,30079,81,62,103
Mellette County,South Dakota,46095,81,71,93
Jeff Davis County,Texas,48243,81,53,117
Menard County,Texas,48327,81,51,118
Clay County,Georgia,13061,82,54,119
Martin County,Texas,48317,82,53,116
Wichita County,Kansas,20203,83,57,110
De Baca County,New Mexico,35011,83,54,121
Steele County,North Dakota,38091,83,56,123
Hyde County,South Dakota,46069,84,72,97
Dolores County,Colorado,08033,85,62,110
Renville County,North Dakota,38075,86,57,123
Schley County,Georgia,13249,87,56,131
