Obesity; Female (Gender); Adults Aged 20+ Years; Crude Number; U.S. Counties; 2017
Data downloaded on 24-October-2023
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Bedford City,Virginia,51515,No Data,No Data,No Data
Oglala Lakota County,South Dakota,46102,No Data,No Data,No Data
Wrangell-Petersburg Census Area,Alaska,02280,No Data,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,02232,No Data,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,02201,No Data,No Data,No Data
Kusilvak Census Area,Alaska,02158,No Data,No Data,No Data
Loving County,Texas,48301,Suppressed,Suppressed,Suppressed
Kalawao County,Hawaii,15005,10,6,16
King County,Texas,48269,21,11,34
Kenedy County,Texas,48261,30,17,46
Mcpherson County,Nebraska,31117,38,22,58
Petroleum County,Montana,30069,40,22,61
Arthur County,Nebraska,31005,40,23,61
Blaine County,Nebraska,31009,44,26,66
Yakutat City and Borough,Alaska,02282,48,27,72
Grant County,Nebraska,31075,48,31,72
Borden County,Texas,48033,51,31,82
San Juan County,Colorado,08111,52,30,79
Banner County,Nebraska,31007,56,33,85
Thomas County,Nebraska,31171,56,34,86
Slope County,North Dakota,38087,57,32,92
Mcmullen County,Texas,48311,57,34,93
Hooker County,Nebraska,31091,58,34,83
Esmeralda County,Nevada,32009,60,33,90
Harding County,New Mexico,35021,61,34,96
Mineral County,Colorado,08079,62,37,99
Treasure County,Montana,30103,62,36,94
Logan County,Nebraska,31113,62,39,90
Wheeler County,Nebraska,31183,62,37,93
Kent County,Texas,48263,62,33,99
Clark County,Idaho,16033,64,38,99
Golden Valley County,Montana,30037,64,36,98
Terrell County,Texas,48443,65,37,101
Daggett County,Utah,49009,65,38,107
Hayes County,Nebraska,31085,67,41,101
Loup County,Nebraska,31115,67,42,95
Roberts County,Texas,48393,69,40,109
Hinsdale County,Colorado,08053,70,40,111
Keya Paha County,Nebraska,31103,75,45,108
Bristol Bay Borough,Alaska,02060,79,51,111
Jones County,South Dakota,46075,80,46,124
Camas County,Idaho,16025,83,50,129
Billings County,North Dakota,38007,86,53,121
Wibaux County,Montana,30109,87,51,132
Alpine County,California,06003,89,55,134
Sterling County,Texas,48431,91,51,141
Glasscock County,Texas,48173,92,51,139
Southeast Fairbanks Census Area,Alaska,02240,97,57,152
Hyde County,South Dakota,46069,98,60,152
Motley County,Texas,48345,98,57,159
Prairie County,Montana,30079,100,59,154
Sioux County,Nebraska,31165,100,66,146
Harding County,South Dakota,46063,100,61,150
Foard County,Texas,48155,101,54,155
Garfield County,Montana,30033,104,62,154
Piute County,Utah,49031,104,61,163
Issaquena County,Mississippi,28055,107,59,165
Sully County,South Dakota,46119,107,61,161
Jackson County,Colorado,08057,108,59,173
Wallace County,Kansas,20199,111,64,166
Carter County,Montana,30011,111,68,167
Stonewall County,Texas,48433,114,64,186
Kiowa County,Colorado,08061,115,68,175
Greeley County,Kansas,20071,116,69,173
Cottle County,Texas,48101,117,68,180
Wheeler County,Oregon,41069,118,66,195
Irion County,Texas,48235,118,63,183
Briscoe County,Texas,48045,120,69,191
Throckmorton County,Texas,48447,122,65,198
Daniels County,Montana,30019,132,78,203
Lane County,Kansas,20101,133,80,198
Mccone County,Montana,30055,138,84,208
Sheridan County,North Dakota,38083,138,86,197
Sherman County,Oregon,41055,140,79,217
Campbell County,South Dakota,46021,140,83,205
Cheyenne County,Colorado,08017,144,85,223
Taliaferro County,Georgia,13265,146,88,222
Edwards County,Texas,48137,146,85,226
Eureka County,Nevada,32011,147,87,223
Armstrong County,Texas,48011,147,81,225
De Baca County,New Mexico,35011,152,78,232
Gilliam County,Oregon,41021,152,87,237
Dickens County,Texas,48125,155,91,240
Jerauld County,South Dakota,46073,158,92,252
Matanuska-Susitna Borough,Alaska,02170,160,106,217
Worth County,Missouri,29227,165,90,262
Oldham County,Texas,48359,165,96,258
Comanche County,Kansas,20033,166,103,234
Hoonah-Angoon Census Area,Alaska,02105,167,98,257
Meagher County,Montana,30059,167,102,253
Denali Borough,Alaska,02068,168,107,239
Haakon County,South Dakota,46055,168,111,235
Rock County,Nebraska,31149,169,115,228
Judith Basin County,Montana,30045,170,103,255
Cimarron County,Oklahoma,40025,170,104,260
Garden County,Nebraska,31069,171,102,259
Culberson County,Texas,48109,175,99,274
Clark County,Kansas,20025,176,102,258
Keweenaw County,Michigan,26083,176,98,276
Gosper County,Nebraska,31073,178,105,257
Golden Valley County,North Dakota,38033,179,112,258
Dolores County,Colorado,08033,180,108,271
Rawlins County,Kansas,20153,180,105,269
Logan County,North Dakota,38047,180,113,255
Oliver County,North Dakota,38065,180,119,258
Miner County,South Dakota,46097,181,105,271
Menard County,Texas,48327,181,100,281
Stanton County,Kansas,20187,183,114,265
Shannon County,South Dakota,46113,183,107,278
Deuel County,Nebraska,31049,187,122,264
Roberts County,South Dakota,46109,187,110,285
Hodgeman County,Kansas,20083,188,120,268
Rich County,Utah,49033,190,111,293
Highland County,Virginia,51091,190,100,298
Wayne County,Utah,49055,191,112,300
Sheridan County,Kansas,20179,194,117,287
Sedgwick County,Colorado,08115,196,117,293
Powder River County,Montana,30075,196,125,275
Wheatland County,Montana,30107,196,118,283
Steele County,North Dakota,38091,196,131,270
Hettinger County,North Dakota,38041,198,126,285
Faulk County,South Dakota,46049,201,115,303
Mcpherson County,South Dakota,46089,201,115,315
Robertson County,Kentucky,21201,202,121,303
Concho County,Texas,48095,205,110,335
Aurora County,South Dakota,46003,207,121,326
Sherman County,Texas,48421,207,121,328
Griggs County,North Dakota,38039,208,133,304
Stanley County,South Dakota,46117,209,124,324
Cochran County,Texas,48079,209,122,326
Jeff Davis County,Texas,48243,212,120,330
Garfield County,Nebraska,31071,216,148,305
Mcintosh County,North Dakota,38051,219,132,319
Schleicher County,Texas,48413,219,131,332
Haines Borough,Alaska,02100,221,137,326
Wichita County,Kansas,20203,222,156,292
Webster County,Georgia,13307,223,131,340
Perkins County,Nebraska,31135,223,150,301
Harmon County,Oklahoma,40057,223,130,339
Garfield County,Washington,53023,224,160,298
Burke County,North Dakota,38013,225,152,322
Collingsworth County,Texas,48087,225,136,345
Quitman County,Georgia,13239,228,130,358
Grant County,North Dakota,38037,229,154,321
Renville County,North Dakota,38075,230,144,326
Hanson County,South Dakota,46061,231,125,364
Douglas County,South Dakota,46043,233,138,343
Eddy County,North Dakota,38027,234,156,330
Kiowa County,Kansas,20097,235,149,330
Reagan County,Texas,48383,237,130,383
Prince of Wales-Hyder Census Area,Alaska,02198,239,149,355
Graham County,Kansas,20065,239,151,335
Divide County,North Dakota,38023,239,155,349
Mellette County,South Dakota,46095,239,184,296
Dundy County,Nebraska,31057,240,170,319
Adams County,North Dakota,38001,241,156,330
Hall County,Texas,48191,242,135,375
Hamilton County,Kansas,20075,243,147,347
Morton County,Kansas,20129,243,155,335
Boyd County,Nebraska,31015,243,171,322
Lipscomb County,Texas,48295,245,141,368
Glascock County,Georgia,13125,247,142,412
Towner County,North Dakota,38095,247,156,342
Buffalo County,South Dakota,46017,247,181,311
Wrangell City and Borough,Alaska,02275,249,151,363
Upton County,Texas,48461,250,153,392
Elk County,Kansas,20049,251,162,364
Liberty County,Montana,30051,251,160,376
Niobrara County,Wyoming,56027,252,165,384
Kidder County,North Dakota,38043,256,162,361
Sierra County,California,06091,260,145,403
Crowley County,Colorado,08025,262,154,395
Lincoln County,Kansas,20105,263,153,384
Gove County,Kansas,20063,264,179,352
Ness County,Kansas,20135,264,162,386
Donley County,Texas,48129,265,149,408
Shackelford County,Texas,48417,266,149,410
Coke County,Texas,48081,267,154,421
Crockett County,Texas,48105,267,153,391
Kinney County,Texas,48271,267,151,430
Harper County,Oklahoma,40059,268,154,413
Hemphill County,Texas,48211,269,156,402
Cheyenne County,Kansas,20023,270,169,402
Chase County,Kansas,20017,271,178,375
Trego County,Kansas,20195,272,175,396
Butte County,Idaho,16023,275,179,390
Baker County,Georgia,13007,276,168,407
Knox County,Texas,48275,277,158,431
Bowman County,North Dakota,38011,281,193,373
Mercer County,Missouri,29129,285,170,438
Edwards County,Kansas,20047,286,184,390
Harlan County,Nebraska,31083,286,185,410
Granite County,Montana,30039,287,166,439
Clay County,Georgia,13061,288,170,427
Real County,Texas,48385,288,166,462
Emmons County,North Dakota,38029,291,187,422
Sutton County,Texas,48435,291,170,472
Fallon County,Montana,30025,292,193,416
Baylor County,Texas,48023,293,170,448
Greeley County,Nebraska,31077,296,206,378
Logan County,Kansas,20109,297,195,412
Echols County,Georgia,13101,298,175,427
Sweet Grass County,Montana,30097,299,191,454
Lyman County,South Dakota,46085,300,181,453
Costilla County,Colorado,08023,307,171,481
Tyrrell County,North Carolina,37177,311,183,468
Chautauqua County,Kansas,20019,312,195,458
Jewell County,Kansas,20089,313,215,442
Pawnee County,Nebraska,31133,314,212,428
Decatur County,Kansas,20039,315,214,436
Fisher County,Texas,48151,316,182,483
Hardeman County,Texas,48197,318,182,482
Franklin County,Nebraska,31061,319,205,452
Hardin County,Illinois,17069,320,186,496
Crane County,Texas,48103,329,180,497
