Obesity; Male (Gender); Adults Aged 20+ Years; Crude Number; U.S. Counties; 2010
Data downloaded on 24-October-2023
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Oglala Lakota County,South Dakota,46102,No Data,No Data,No Data
Wrangell-Petersburg Census Area,Alaska,02280,No Data,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,02232,No Data,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,02201,No Data,No Data,No Data
Kusilvak Census Area,Alaska,02158,No Data,No Data,No Data
Kalawao County,Hawaii,15005,Suppressed,Suppressed,Suppressed
Loving County,Texas,48301,Suppressed,Suppressed,Suppressed
King County,Texas,48269,20,11,32
Kenedy County,Texas,48261,29,16,45
Arthur County,Nebraska,31005,30,17,46
Blaine County,Nebraska,31009,32,17,51
Petroleum County,Montana,30069,38,20,58
Mcpherson County,Nebraska,31117,38,22,60
Borden County,Texas,48033,45,25,71
Grant County,Nebraska,31075,47,26,74
Yakutat City and Borough,Alaska,02282,48,25,76
Thomas County,Nebraska,31171,48,27,74
Loup County,Nebraska,31115,49,29,76
Hooker County,Nebraska,31091,50,30,74
Kent County,Texas,48263,51,29,81
Banner County,Nebraska,31007,52,28,86
Logan County,Nebraska,31113,53,29,83
Mcmullen County,Texas,48311,53,29,89
Mineral County,Colorado,08079,55,30,93
Treasure County,Montana,30103,55,29,85
Harding County,New Mexico,35021,55,33,90
Slope County,North Dakota,38087,55,30,87
San Juan County,Colorado,08111,58,34,89
Wheeler County,Nebraska,31183,58,34,93
Billings County,North Dakota,38007,60,32,95
Esmeralda County,Nevada,32009,61,34,98
Roberts County,Texas,48393,62,34,98
Hinsdale County,Colorado,08053,63,34,101
Keya Paha County,Nebraska,31103,63,34,97
Clark County,Idaho,16033,65,35,104
Golden Valley County,Montana,30037,66,36,105
Terrell County,Texas,48443,70,38,108
Wibaux County,Montana,30109,72,41,113
Sterling County,Texas,48431,75,40,119
Hayes County,Nebraska,31085,78,44,120
Jones County,South Dakota,46075,80,45,127
Bristol Bay Borough,Alaska,02060,81,48,123
Skagway Municipality,Alaska,02230,81,49,123
Glasscock County,Texas,48173,82,46,130
Motley County,Texas,48345,84,45,137
Alpine County,California,06003,86,47,136
Camas County,Idaho,16025,86,48,138
Greeley County,Kansas,20071,87,49,130
Carter County,Montana,30011,87,48,136
Garfield County,Montana,30033,87,48,138
Cottle County,Texas,48101,88,49,140
Foard County,Texas,48155,89,50,140
Daggett County,Utah,49009,89,47,145
Kiowa County,Colorado,08061,95,52,152
Harding County,South Dakota,46063,95,54,147
Piute County,Utah,49031,96,56,154
Prairie County,Montana,30079,97,52,154
Wheeler County,Oregon,41069,97,55,157
Stonewall County,Texas,48433,98,56,149
Wallace County,Kansas,20199,99,54,160
Sioux County,Nebraska,31165,102,63,159
Lake and Peninsula Borough,Alaska,02164,104,56,167
Sheridan County,North Dakota,38083,105,60,167
Throckmorton County,Texas,48447,105,55,172
Issaquena County,Mississippi,28055,106,61,164
Taliaferro County,Georgia,13265,107,54,177
Irion County,Texas,48235,108,59,178
Buffalo County,South Dakota,46017,109,67,162
Briscoe County,Texas,48045,109,56,176
Oldham County,Texas,48359,111,61,182
Jackson County,Colorado,08057,112,65,177
Golden Valley County,North Dakota,38033,112,66,175
Campbell County,South Dakota,46021,113,67,173
Rock County,Nebraska,31149,117,68,176
Lane County,Kansas,20101,119,66,185
Hyde County,South Dakota,46069,119,68,183
Cheyenne County,Colorado,08017,121,70,193
Daniels County,Montana,30019,121,71,196
Mellette County,South Dakota,46095,124,71,188
Comanche County,Kansas,20033,126,69,199
Sully County,South Dakota,46119,126,73,191
Powder River County,Montana,30075,127,73,189
Armstrong County,Texas,48011,127,68,197
Sherman County,Oregon,41055,128,73,205
De Baca County,New Mexico,35011,133,75,215
Gilliam County,Oregon,41021,134,72,213
Clark County,Kansas,20025,135,72,216
Oliver County,North Dakota,38065,136,79,217
Deuel County,Nebraska,31049,137,81,207
Edwards County,Texas,48137,139,79,221
Mccone County,Montana,30055,140,83,207
Meagher County,Montana,30059,140,78,211
Gosper County,Nebraska,31073,140,78,213
Stanton County,Kansas,20187,142,75,229
Jerauld County,South Dakota,46073,142,85,216
Hodgeman County,Kansas,20083,143,81,220
Culberson County,Texas,48109,143,81,237
Rich County,Utah,49033,144,80,221
Wichita County,Kansas,20203,147,84,232
Logan County,North Dakota,38047,147,85,227
Haakon County,South Dakota,46055,148,82,219
Garfield County,Nebraska,31071,149,87,239
Worth County,Missouri,29227,150,83,246
Denali Borough,Alaska,02068,152,94,232
Eureka County,Nevada,32011,152,84,246
Wheatland County,Montana,30107,153,87,245
Quitman County,Georgia,13239,154,87,249
Judith Basin County,Montana,30045,154,80,236
Boyd County,Nebraska,31015,155,92,238
Menard County,Texas,48327,155,85,239
Cimarron County,Oklahoma,40025,157,86,248
Faulk County,South Dakota,46049,157,91,236
Burke County,North Dakota,38013,160,89,243
Dolores County,Colorado,08033,161,88,257
Liberty County,Montana,30051,161,87,251
Steele County,North Dakota,38091,161,93,262
Webster County,Georgia,13307,164,89,256
Adams County,North Dakota,38001,165,92,255
Eddy County,North Dakota,38027,166,99,262
Miner County,South Dakota,46097,166,94,252
Sedgwick County,Colorado,08115,167,90,259
Dundy County,Nebraska,31057,167,100,249
Garden County,Nebraska,31069,167,105,259
Ziebach County,South Dakota,46137,168,105,247
Keweenaw County,Michigan,26083,169,89,268
Divide County,North Dakota,38023,169,94,267
Wayne County,Utah,49055,169,91,271
Robertson County,Kentucky,21201,170,99,266
Potter County,South Dakota,46107,170,93,269
Hettinger County,North Dakota,38041,171,102,255
Jeff Davis County,Texas,48243,171,86,272
Kiowa County,Kansas,20097,172,92,271
Kidder County,North Dakota,38043,173,98,275
Towner County,North Dakota,38095,175,102,266
Hamilton County,Kansas,20075,176,95,270
Highland County,Virginia,51091,177,100,284
Renville County,North Dakota,38075,179,104,283
Sanborn County,South Dakota,46111,179,98,272
Cheyenne County,Kansas,20023,180,100,295
Sheridan County,Kansas,20179,181,102,281
Griggs County,North Dakota,38039,181,101,280
Hoonah-Angoon Census Area,Alaska,02105,183,112,279
Mcpherson County,South Dakota,46089,184,104,290
Collingsworth County,Texas,48087,184,97,283
Niobrara County,Wyoming,56027,184,109,273
Clay County,Georgia,13061,185,104,286
Rawlins County,Kansas,20153,185,107,294
Graham County,Kansas,20065,188,102,292
Cochran County,Texas,48079,189,104,303
Glascock County,Georgia,13125,190,98,308
Harmon County,Oklahoma,40057,191,112,297
Sherman County,Texas,48421,191,103,306
Perkins County,Nebraska,31135,193,111,285
Gove County,Kansas,20063,194,117,313
Aurora County,South Dakota,46003,194,121,297
Butte County,Idaho,16023,196,109,305
Morton County,Kansas,20129,197,114,314
Hanson County,South Dakota,46061,198,111,319
Dickens County,Texas,48125,198,103,314
Baker County,Georgia,13007,202,111,322
Chase County,Kansas,20017,203,112,320
Jackson County,South Dakota,46071,203,120,304
Fallon County,Montana,30025,206,111,320
Elk County,Kansas,20049,207,121,324
Logan County,Kansas,20109,207,113,328
Hall County,Texas,48191,209,103,366
Schleicher County,Texas,48413,210,120,341
Grant County,North Dakota,38037,211,132,317
Wrangell City and Borough,Alaska,02275,214,127,309
Lincoln County,Kansas,20105,215,121,340
Upton County,Texas,48461,215,120,339
Trego County,Kansas,20195,216,120,346
Reagan County,Texas,48383,217,117,340
Edwards County,Kansas,20047,219,121,344
Lipscomb County,Texas,48295,219,124,329
Hudspeth County,Texas,48229,220,131,350
Shackelford County,Texas,48417,221,118,342
Bennett County,South Dakota,46007,223,142,317
Haines Borough,Alaska,02100,224,139,323
Greeley County,Nebraska,31077,227,140,335
Coke County,Texas,48081,227,122,365
Ness County,Kansas,20135,228,134,371
Pawnee County,Nebraska,31133,228,141,347
Real County,Texas,48385,228,126,354
Sioux County,North Dakota,38085,229,125,361
Perkins County,South Dakota,46105,229,133,358
Hemphill County,Texas,48211,230,126,356
Jewell County,Kansas,20089,231,130,355
Bowman County,North Dakota,38011,231,121,360
Nelson County,North Dakota,38063,232,137,353
Decatur County,Kansas,20039,233,136,359
Foster County,North Dakota,38031,233,132,357
Traverse County,Minnesota,27155,234,126,385
