Obesity; Total (Total); Adults Aged 20+ Years; Crude Number; U.S. Counties; 2011
Data downloaded on 24-October-2023
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Oglala Lakota County,South Dakota,46102,No Data,No Data,No Data
Wrangell-Petersburg Census Area,Alaska,02280,No Data,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,02232,No Data,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,02201,No Data,No Data,No Data
Kusilvak Census Area,Alaska,02158,No Data,No Data,No Data
Loving County,Texas,48301,13,9,18
Kalawao County,Hawaii,15005,27,22,32
King County,Texas,48269,32,22,44
Kenedy County,Texas,48261,51,34,72
Borden County,Texas,48033,78,51,108
Petroleum County,Montana,30069,89,60,120
Mcmullen County,Texas,48311,91,61,130
Arthur County,Nebraska,31005,92,73,114
Mcpherson County,Nebraska,31117,97,72,124
Roberts County,Texas,48393,97,63,133
Kent County,Texas,48263,99,64,138
Blaine County,Nebraska,31009,103,75,134
Mineral County,Colorado,08079,112,88,138
Yakutat City and Borough,Alaska,02282,113,82,154
Slope County,North Dakota,38087,114,74,159
Terrell County,Texas,48443,116,74,163
Harding County,New Mexico,35021,122,83,167
San Juan County,Colorado,08111,125,105,147
Thomas County,Nebraska,31171,130,94,175
Esmeralda County,Nevada,32009,137,96,177
Loup County,Nebraska,31115,138,111,171
Sterling County,Texas,48431,138,95,193
Clark County,Idaho,16033,141,97,190
Glasscock County,Texas,48173,144,97,199
Treasure County,Montana,30103,148,115,188
Motley County,Texas,48345,149,96,212
Golden Valley County,Montana,30037,151,134,170
Wibaux County,Montana,30109,152,125,184
Wheeler County,Nebraska,31183,155,109,210
Hinsdale County,Colorado,08053,157,130,185
Foard County,Texas,48155,162,99,233
Billings County,North Dakota,38007,169,127,220
Grant County,Nebraska,31075,170,147,195
Bristol Bay Borough,Alaska,02060,172,118,227
Stonewall County,Texas,48433,178,116,259
Hooker County,Nebraska,31091,181,147,220
Cottle County,Texas,48101,181,123,252
Skagway Municipality,Alaska,02230,182,129,244
Jackson County,Colorado,08057,185,135,238
Banner County,Nebraska,31007,187,151,224
Logan County,Nebraska,31113,187,160,215
Irion County,Texas,48235,191,133,270
Throckmorton County,Texas,48447,195,128,272
Briscoe County,Texas,48045,198,131,282
Keya Paha County,Nebraska,31103,199,146,253
Greeley County,Kansas,20071,207,147,283
Carter County,Montana,30011,207,148,283
Oldham County,Texas,48359,207,130,297
Camas County,Idaho,16025,209,154,271
Alpine County,California,06003,212,152,284
Garfield County,Montana,30033,215,151,289
Sheridan County,North Dakota,38083,219,144,310
Jones County,South Dakota,46075,221,171,271
Taliaferro County,Georgia,13265,227,154,325
Armstrong County,Texas,48011,232,149,331
Cheyenne County,Colorado,08017,234,174,297
Edwards County,Texas,48137,239,163,338
Wallace County,Kansas,20199,243,172,325
Kiowa County,Colorado,08061,244,201,295
Sioux County,Nebraska,31165,250,177,331
Wheeler County,Oregon,41069,250,184,319
Hayes County,Nebraska,31085,256,213,300
Harding County,South Dakota,46063,256,200,317
Issaquena County,Mississippi,28055,257,188,349
Lake and Peninsula Borough,Alaska,02164,259,184,354
Culberson County,Texas,48109,262,174,383
Daggett County,Utah,49009,266,210,329
Prairie County,Montana,30079,268,206,342
Hyde County,South Dakota,46069,273,222,326
Golden Valley County,North Dakota,38033,275,194,365
Denali Borough,Alaska,02068,281,191,391
Lane County,Kansas,20101,284,203,377
Menard County,Texas,48327,284,182,386
Oliver County,North Dakota,38065,289,198,385
Sully County,South Dakota,46119,290,222,367
Dickens County,Texas,48125,294,205,398
Jeff Davis County,Texas,48243,294,194,408
Mccone County,Montana,30055,302,221,396
Piute County,Utah,49031,305,245,368
De Baca County,New Mexico,35011,306,211,408
Powder River County,Montana,30075,315,223,426
Comanche County,Kansas,20033,319,219,433
Steele County,North Dakota,38091,319,216,432
Quitman County,Georgia,13239,320,219,441
Hodgeman County,Kansas,20083,320,222,442
Daniels County,Montana,30019,324,254,387
Sherman County,Texas,48421,327,219,464
Buffalo County,South Dakota,46017,329,280,381
Eureka County,Nevada,32011,331,233,447
Logan County,North Dakota,38047,336,264,410
Cochran County,Texas,48079,339,228,474
Meagher County,Montana,30059,343,249,450
Webster County,Georgia,13307,345,227,472
Wichita County,Kansas,20203,345,251,473
Campbell County,South Dakota,46021,346,279,420
Collingsworth County,Texas,48087,349,226,488
Clark County,Kansas,20025,351,230,469
Stanton County,Kansas,20187,353,243,483
Judith Basin County,Montana,30045,357,252,474
Glascock County,Georgia,13125,359,244,500
Schleicher County,Texas,48413,359,240,527
Worth County,Missouri,29227,361,248,485
Towner County,North Dakota,38095,363,250,503
Reagan County,Texas,48383,363,245,510
Dolores County,Colorado,08033,364,263,470
Rock County,Nebraska,31149,367,294,454
Hudspeth County,Texas,48229,368,248,531
Adams County,North Dakota,38001,371,340,403
Hoonah-Angoon Census Area,Alaska,02105,372,262,502
Jerauld County,South Dakota,46073,373,277,493
Sherman County,Oregon,41055,376,296,457
Lipscomb County,Texas,48295,376,261,527
Hall County,Texas,48191,380,252,544
Renville County,North Dakota,38075,382,260,576
Gilliam County,Oregon,41021,382,274,497
Upton County,Texas,48461,382,247,576
Divide County,North Dakota,38023,384,265,506
Hamilton County,Kansas,20075,388,269,513
Keweenaw County,Michigan,26083,390,273,535
Wheatland County,Montana,30107,392,295,512
Shackelford County,Texas,48417,395,270,547
Boyd County,Nebraska,31015,399,286,522
Burke County,North Dakota,38013,399,353,441
Liberty County,Montana,30051,407,288,532
Cimarron County,Oklahoma,40025,407,334,481
Coke County,Texas,48081,407,277,564
Robertson County,Kentucky,21201,408,287,537
Clay County,Georgia,13061,412,274,587
Dundy County,Nebraska,31057,416,315,535
Wrangell City and Borough,Alaska,02275,418,296,557
Donley County,Texas,48129,418,283,598
Garden County,Nebraska,31069,421,308,542
Crockett County,Texas,48105,422,287,589
Highland County,Virginia,51091,422,305,560
Sedgwick County,Colorado,08115,423,309,560
Rawlins County,Kansas,20153,423,299,587
Garfield County,Washington,53023,423,284,581
Kiowa County,Kansas,20097,424,338,506
Mellette County,South Dakota,46095,424,357,497
Real County,Texas,48385,425,285,616
Haakon County,South Dakota,46055,426,342,522
Ziebach County,South Dakota,46137,428,324,571
Baker County,Georgia,13007,429,277,604
Mcpherson County,South Dakota,46089,431,330,539
Hemphill County,Texas,48211,431,296,591
Mcintosh County,North Dakota,38051,433,308,577
Gove County,Kansas,20063,435,305,604
Sheridan County,Kansas,20179,436,326,560
Echols County,Georgia,13101,437,285,614
Eddy County,North Dakota,38027,438,342,550
Garfield County,Nebraska,31071,440,354,528
Knox County,Texas,48275,440,297,606
Kinney County,Texas,48271,441,300,657
Kidder County,North Dakota,38043,443,391,499
Graham County,Kansas,20065,444,304,598
Chase County,Kansas,20017,445,286,638
Niobrara County,Wyoming,56027,448,315,598
Baylor County,Texas,48023,452,292,652
Sutton County,Texas,48435,453,291,647
Butte County,Idaho,16023,460,316,612
Haines Borough,Alaska,02100,461,317,600
Logan County,Kansas,20109,464,316,633
Grant County,North Dakota,38037,465,346,606
Deuel County,Nebraska,31049,466,405,529
Potter County,South Dakota,46107,472,353,595
Fisher County,Texas,48151,473,314,702
Edwards County,Kansas,20047,474,334,630
Griggs County,North Dakota,38039,474,385,569
Crane County,Texas,48103,474,318,677
Gosper County,Nebraska,31073,476,394,562
Cheyenne County,Kansas,20023,480,345,636
Hardeman County,Texas,48197,481,325,671
Bowman County,North Dakota,38011,490,349,660
Nelson County,North Dakota,38063,492,348,678
Mason County,Texas,48319,492,340,681
Decatur County,Kansas,20039,494,334,681
Elk County,Kansas,20049,494,363,633
Aurora County,South Dakota,46003,496,451,542
Sanborn County,South Dakota,46111,496,387,609
Wayne County,Utah,49055,500,393,620
Morton County,Kansas,20129,504,355,680
Faulk County,South Dakota,46049,507,439,584
Ness County,Kansas,20135,511,373,668
Rich County,Utah,49033,516,423,628
Hanson County,South Dakota,46061,518,358,680
Hettinger County,North Dakota,38041,520,409,660
Hardin County,Illinois,17069,523,349,762
Martin County,Texas,48317,526,356,738
Jackson County,South Dakota,46071,531,444,630
Trego County,Kansas,20195,532,378,711
Traverse County,Minnesota,27155,537,336,740
