Obesity; 45-64 (Age); Adults Aged 20+ Years; Percentage; U.S. Counties; 2016
Data downloaded on 24-October-2023
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Teton County,Wyoming,56039,13.6,9.8,18
Eagle County,Colorado,08037,15,10.3,20.1
Summit County,Colorado,08117,15.6,11.4,21.8
Pitkin County,Colorado,08097,16.3,10.5,23.3
Summit County,Utah,49043,16.5,13.2,20
Blaine County,Idaho,16013,16.6,11.7,22.4
Boulder County,Colorado,08013,16.9,14.5,19.9
Santa Fe County,New Mexico,35049,16.9,14.1,20
Grand County,Colorado,08049,17.2,11.5,24.6
Routt County,Colorado,08107,17.2,12.1,22.4
San Juan County,Washington,53055,17.4,12.5,22.5
Gunnison County,Colorado,08051,18.6,12.8,25.6
Chaffee County,Colorado,08015,19,13.9,24.9
Gallatin County,Montana,30031,19.1,15.6,23.1
Chambers County,Texas,48071,19.3,11.2,29.2
Bath County,Virginia,51017,19.5,11.2,29.1
Rockwall County,Texas,48397,19.6,11.2,29.7
La Plata County,Colorado,08067,19.9,15.7,24.5
San Miguel County,Colorado,08113,19.9,12.5,27.5
Watauga County,North Carolina,37189,20,13.5,28.3
Sherman County,Oregon,41055,20,10.9,30.9
Jerauld County,South Dakota,46073,20,11.8,31.6
Williamsburg City,Virginia,51830,20,12,29.9
Martin County,Florida,12085,20.1,16.2,24.3
Cameron County,Pennsylvania,42023,20.2,12,30.6
Marin County,California,06041,20.3,15.1,27
Dolores County,Colorado,08033,20.3,12.8,28.9
Armstrong County,Texas,48011,20.3,11.7,31.4
Jack County,Texas,48237,20.3,12.5,30.4
Limestone County,Texas,48293,20.3,12.4,30.8
Sterling County,Texas,48431,20.3,11.9,31.7
Norton City,Virginia,51720,20.3,12.5,31.9
New York County,New York,36061,20.4,18,23
Slope County,North Dakota,38087,20.4,12.4,30.2
Coleman County,Texas,48083,20.4,12.4,29.7
Dewitt County,Texas,48123,20.4,11.7,30.5
Jeff Davis County,Texas,48243,20.4,12.2,30.9
Morris County,Texas,48343,20.4,11.7,30.6
Pecos County,Texas,48371,20.4,11.9,31.6
Archuleta County,Colorado,08007,20.5,14.2,27.4
Carson County,Texas,48065,20.5,11.6,31.2
Colorado County,Texas,48089,20.5,12.6,31.5
Culberson County,Texas,48109,20.5,12.1,31.1
Hamilton County,Texas,48193,20.5,12.3,31.2
King County,Texas,48269,20.5,11.7,31.1
Roberts County,Texas,48393,20.5,12.6,30.7
Titus County,Texas,48449,20.5,11.8,30.1
Galax City,Virginia,51640,20.5,12,32.5
Hidalgo County,New Mexico,35023,20.6,12.2,31
Bee County,Texas,48025,20.6,13.3,30.5
Childress County,Texas,48075,20.6,11.9,31.5
Edwards County,Texas,48137,20.6,12.6,31.4
Fisher County,Texas,48151,20.6,12.4,30.5
Hardeman County,Texas,48197,20.6,11.9,31.8
Liberty County,Texas,48291,20.6,11.9,31.8
Madison County,Texas,48313,20.6,12.1,31
Reagan County,Texas,48383,20.6,12.8,30.1
Somervell County,Texas,48425,20.6,12.2,32.1
Stonewall County,Texas,48433,20.6,12.2,29.9
Buena Vista City,Virginia,51530,20.6,12.3,33.1
Lexington City,Virginia,51678,20.6,12.7,29.8
Catron County,New Mexico,35003,20.7,13.6,29.6
Haakon County,South Dakota,46055,20.7,12.5,30.6
Borden County,Texas,48033,20.7,12.8,31
Cochran County,Texas,48079,20.7,11.9,33.5
Frio County,Texas,48163,20.7,12.6,32.2
Gonzales County,Texas,48177,20.7,12.1,31.5
La Salle County,Texas,48283,20.7,13.1,30.4
Mcmullen County,Texas,48311,20.7,12.4,31.8
Mills County,Texas,48333,20.7,12.4,31.2
Shackelford County,Texas,48417,20.7,12.3,31.5
Terrell County,Texas,48443,20.7,11.9,32
Mineral County,Nevada,32021,20.8,12.5,31.2
Brewster County,Texas,48043,20.8,12.2,31.4
Concho County,Texas,48095,20.8,12.4,31.2
Dawson County,Texas,48115,20.8,12.5,31.3
Haskell County,Texas,48207,20.8,12,31.9
Kinney County,Texas,48271,20.8,11.4,33.6
Marion County,Texas,48315,20.8,12.2,31.5
Refugio County,Texas,48391,20.8,13.2,31.8
San Jacinto County,Texas,48407,20.8,12,31.8
Throckmorton County,Texas,48447,20.8,13.1,31
Upton County,Texas,48461,20.8,12.1,31.4
Collingsworth County,Texas,48087,20.9,12.1,31.9
Cottle County,Texas,48101,20.9,12,31.3
Crockett County,Texas,48105,20.9,13.3,31.9
Duval County,Texas,48131,20.9,12.5,31.2
Garza County,Texas,48169,20.9,12.3,31.4
Jim Hogg County,Texas,48247,20.9,12.1,31.1
Kenedy County,Texas,48261,20.9,11.6,31.2
Martin County,Texas,48317,20.9,11.8,33.7
Mason County,Texas,48319,20.9,12.6,32.2
Yoakum County,Texas,48501,20.9,11.7,32
Ouray County,Colorado,08091,21,13.7,29.3
Trousdale County,Tennessee,47169,21,13,31.8
Aransas County,Texas,48007,21,12.5,31.1
Blanco County,Texas,48031,21,12.4,32.1
Dickens County,Texas,48125,21,12.1,32.2
Dimmit County,Texas,48127,21,12,33.6
Hemphill County,Texas,48211,21,11.2,31.5
Motley County,Texas,48345,21,12.5,31.1
Schleicher County,Texas,48413,21,12.5,32.6
Willacy County,Texas,48489,21,12.3,31.3
San Francisco County,California,06075,21.1,17,25.9
Santa Cruz County,California,06087,21.1,14.8,27.8
Potter County,South Dakota,46107,21.1,13.3,31.2
Bosque County,Texas,48035,21.1,12.7,33
Crosby County,Texas,48107,21.1,12,30.4
Kent County,Texas,48263,21.1,12.8,31.9
Oldham County,Texas,48359,21.1,12,33.3
Sherman County,Texas,48421,21.1,12.4,32.5
Zapata County,Texas,48505,21.1,12.8,32.2
Zavala County,Texas,48507,21.1,11.9,33.1
Mineral County,Colorado,08079,21.2,13.1,31.6
Wheeler County,Oregon,41069,21.2,12.2,33.2
Bailey County,Texas,48017,21.2,12.3,32
Briscoe County,Texas,48045,21.2,12.5,32
Floyd County,Texas,48153,21.2,11.8,32.3
Live Oak County,Texas,48297,21.2,12.9,31.2
Loving County,Texas,48301,21.2,13,31.2
Navarro County,Texas,48349,21.2,13,31.7
San Saba County,Texas,48411,21.2,13.3,33.5
Wilbarger County,Texas,48487,21.2,13.2,30.6
Denver County,Colorado,08031,21.3,18.8,23.7
Harding County,New Mexico,35021,21.3,13,32.6
Hancock County,Tennessee,47067,21.3,12.2,33.2
Donley County,Texas,48129,21.3,12.7,32.5
Hall County,Texas,48191,21.3,12.6,33.2
Lavaca County,Texas,48285,21.3,12.3,31.8
Lynn County,Texas,48305,21.3,12.6,33
Winkler County,Texas,48495,21.3,12.8,33
Grand County,Utah,49019,21.3,15.3,28.4
Covington City,Virginia,51580,21.3,12.4,31.4
Douglas County,Colorado,08035,21.4,18.4,24.6
Kalawao County,Hawaii,15005,21.4,13.1,31.6
Crane County,Texas,48103,21.4,12.8,33.1
Kimble County,Texas,48267,21.4,13.6,30.3
Falls Church City,Virginia,51610,21.4,13.4,32.4
Hinsdale County,Colorado,08053,21.5,13.4,32.2
Esmeralda County,Nevada,32009,21.5,12.1,32.2
Callahan County,Texas,48059,21.5,13.9,32.3
Castro County,Texas,48069,21.5,13,30.8
Teller County,Colorado,08119,21.6,16.1,27.7
Hill County,Texas,48217,21.6,12.7,32.7
Kleberg County,Texas,48273,21.6,12.7,32.1
Ward County,Texas,48475,21.6,13.6,32.5
Emporia City,Virginia,51595,21.6,13,31.6
Worth County,Missouri,29227,21.7,13.1,31.8
Greer County,Oklahoma,40055,21.7,13,31.4
Pickett County,Tennessee,47137,21.7,13.2,33.8
Brooks County,Texas,48047,21.7,13.6,32.5
Camp County,Texas,48063,21.7,12.9,32
Gillespie County,Texas,48171,21.7,13,31.5
Kendall County,Texas,48259,21.7,13.8,31.7
Wheeler County,Texas,48483,21.7,12.9,32.8
Wise County,Texas,48497,21.7,12.6,33.4
Sierra County,California,06091,21.8,13.1,32
Miller County,Georgia,13201,21.8,13.5,32.3
Fayette County,Illinois,17051,21.8,12.9,33.2
Mcpherson County,Nebraska,31117,21.8,13.7,33.4
Eureka County,Nevada,32011,21.8,13.3,31.9
Houston County,Texas,48225,21.8,14.1,31
Llano County,Texas,48299,21.8,12.7,31.9
Wharton County,Texas,48481,21.8,13.3,30.4
Highland County,Virginia,51091,21.8,12.9,33.1
Martinsville City,Virginia,51690,21.8,13.3,32.7
Ford County,Illinois,17053,21.9,13.3,32.6
Gilliam County,Oregon,41021,21.9,13,32.6
Chester County,Pennsylvania,42029,21.9,17.1,27.3
Baylor County,Texas,48023,21.9,13.3,32.6
Cooke County,Texas,48097,21.9,13.6,32.5
Delta County,Texas,48119,21.9,12.7,33.4
Glasscock County,Texas,48173,21.9,12.9,31.7
Goliad County,Texas,48175,21.9,13.1,33.1
Hockley County,Texas,48219,21.9,13.1,33.8
Hudspeth County,Texas,48229,21.9,12.8,33.6
Knox County,Texas,48275,21.9,13.5,32.8
Swisher County,Texas,48437,21.9,13.1,33.3
Walker County,Texas,48471,21.9,14,33.4
Menominee County,Wisconsin,55078,21.9,12.8,32.2
Calhoun County,Arkansas,05013,22,14.3,32.1
Haralson County,Georgia,13143,22,13.7,31.4
Sioux County,Nebraska,31165,22,14,30.7
Hyde County,North Carolina,37095,22,13.2,32.5
Coke County,Texas,48081,22,13.2,34.1
Lamb County,Texas,48279,22,13.2,32.9
Menard County,Texas,48327,22,12.2,34.8
Ochiltree County,Texas,48357,22,13,34.1
Rains County,Texas,48379,22,13.2,33
Real County,Texas,48385,22,13,32.7
Stephens County,Texas,48429,22,13.6,33.3
Morgan County,Utah,49029,22,14.8,31.2
Bristol City,Virginia,51520,22,13,31.4
Brown County,Illinois,17009,22.1,13.5,33.6
Gallatin County,Illinois,17059,22.1,13.6,33.4
Issaquena County,Mississippi,28055,22.1,14.2,32.3
Warren County,North Carolina,37185,22.1,13.8,33.1
Jones County,South Dakota,46075,22.1,13.6,33
Foard County,Texas,48155,22.1,12.8,33.5
Hood County,Texas,48221,22.1,14.2,31.4
Irion County,Texas,48235,22.1,12.7,33.6
Lipscomb County,Texas,48295,22.1,14,32.6
Mcculloch County,Texas,48307,22.1,14.1,32.9
Tyler County,Texas,48457,22.1,13.4,31.7
Alpine County,California,06003,22.2,13.1,33.1
Placer County,California,06061,22.2,17.3,28
Gilpin County,Colorado,08047,22.2,14.8,30.9
Lincoln County,Georgia,13181,22.2,13.8,32.9
Warren County,Georgia,13301,22.2,13.4,31.6
Lawrence County,Illinois,17101,22.2,13.6,33
Massac County,Illinois,17127,22.2,13.1,32.7
West Feliciana Parish,Louisiana,22125,22.2,13.8,32.7
Madison County,Montana,30057,22.2,15.4,30.2
Hyde County,South Dakota,46069,22.2,13.9,33.7
Burleson County,Texas,48051,22.2,13.4,32.8
Clay County,Texas,48077,22.2,13.9,32.4
Hansford County,Texas,48195,22.2,13,33.6
Hartley County,Texas,48205,22.2,13.5,32.1
Karnes County,Texas,48255,22.2,12.8,33.4
Arlington County,Virginia,51013,22.2,17.8,26.7
Modoc County,California,06049,22.3,13.5,32.5
Glascock County,Georgia,13125,22.3,13,32.6
Hancock County,Georgia,13141,22.3,13.6,32.2
Hamilton County,Illinois,17065,22.3,13.6,33.3
Lyon County,Kentucky,21143,22.3,15.6,31.2
Dent County,Missouri,29065,22.3,14.1,32.4
Caswell County,North Carolina,37033,22.3,14.4,32
Sullivan County,Pennsylvania,42113,22.3,14.5,33.3
Moore County,Texas,48341,22.3,13.9,33
Ozaukee County,Wisconsin,55089,22.3,16.3,28.7
