Obesity; 65+ (Age); Adults Aged 20+ Years; Percentage; U.S. Counties; 2007
Data downloaded on 24-October-2023
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Santa Fe County,New Mexico,35049,11.4,8.8,14.4
Summit County,Utah,49043,11.5,7.9,15.8
New York County,New York,36061,12.3,9.7,15
Blaine County,Idaho,16013,12.5,8.3,18.2
San Francisco County,California,06075,12.7,9.2,16.9
Teton County,Wyoming,56039,12.7,8.7,18
Boulder County,Colorado,08013,12.8,9.6,16.2
Routt County,Colorado,08107,12.9,8.2,19.4
Eagle County,Colorado,08037,13.4,8.9,19.2
Pitkin County,Colorado,08097,13.4,8.7,19.4
Fairfax County,Virginia,51059,13.4,9.8,17.6
Douglas County,Colorado,08035,13.5,10,17.2
Park County,Montana,30067,13.8,9.7,19.1
Summit County,Colorado,08117,13.9,8.8,20.7
Taos County,New Mexico,35055,13.9,9.5,19.1
Beaufort County,South Carolina,45013,13.9,11.3,16.6
Orange County,California,06059,14.1,11.2,17.4
Denver County,Colorado,08031,14.1,11.6,16.5
Larimer County,Colorado,08069,14.2,11.2,17.8
Honolulu County,Hawaii,15003,14.3,12.4,16.1
Hunterdon County,New Jersey,34019,14.4,10.8,18.7
Placer County,California,06061,14.6,9.9,20.3
Elbert County,Colorado,08039,14.7,9.6,20.7
Monroe County,Florida,12087,14.8,11.4,19.2
Orange County,North Carolina,37135,14.9,11.5,18.7
San Mateo County,California,06081,15,10.6,20.2
San Juan County,Washington,53055,15.1,11.3,19.5
Broward County,Florida,12011,15.2,12.3,18.5
Bernalillo County,New Mexico,35001,15.2,12.4,18.2
Palm Beach County,Florida,12099,15.3,12.4,18.4
La Plata County,Colorado,08067,15.4,10.7,21.3
Kauai County,Hawaii,15007,15.4,12.5,18.7
Teton County,Idaho,16081,15.4,9.9,23.3
Madison County,Montana,30057,15.4,10.2,21.7
Santa Clara County,California,06085,15.5,12,19.9
Park County,Colorado,08093,15.5,9.9,22.4
Hawaii County,Hawaii,15001,15.5,13.1,18.1
Coconino County,Arizona,04005,15.6,11.8,19.9
Chaffee County,Colorado,08015,15.6,10.3,22.1
Teller County,Colorado,08119,15.6,10.5,22.4
Sumter County,Georgia,13261,15.6,10.2,22
Lincoln County,Maine,23015,15.6,12,19.9
Dukes County,Massachusetts,25007,15.6,10.2,22.4
Alexandria City,Virginia,51510,15.6,11.5,20.3
Sonoma County,California,06097,15.7,10.9,21.5
Broomfield County,Colorado,08014,15.7,10.8,21.4
Gunnison County,Colorado,08051,15.7,10.1,23
Mesa County,Colorado,08077,15.7,12,19.8
Wright County,Iowa,19197,15.8,9.7,23.5
Kingfisher County,Oklahoma,40073,15.8,10.4,22.4
Arapahoe County,Colorado,08005,15.9,13,18.9
Custer County,Colorado,08027,15.9,10,23
Fulton County,Georgia,13121,15.9,12.4,19.8
Montgomery County,Maryland,24031,15.9,13.3,18.6
Silver Bow County,Montana,30093,15.9,11.5,21
Schenectady County,New York,36093,15.9,10.6,22.3
Johnson County,Iowa,19103,16,11.4,21.3
Douglas County,Nevada,32005,16,12,20.8
Deschutes County,Oregon,41017,16,11.8,20.9
Jeff Davis County,Texas,48243,16,9.6,23.9
Wasatch County,Utah,49051,16,11.9,20.9
Arlington County,Virginia,51013,16,12.2,20.7
Contra Costa County,California,06013,16.1,12.1,20.4
Fairfield County,Connecticut,09001,16.1,13.9,18.2
Fayette County,Georgia,13113,16.1,10.9,22.5
Norfolk County,Massachusetts,25021,16.1,13.4,18.8
Morgan County,Utah,49029,16.1,9.9,24.5
Archuleta County,Colorado,08007,16.2,10.6,23.2
El Paso County,Colorado,08041,16.2,13.2,19.4
Grand County,Colorado,08049,16.2,10.5,23.7
Sarasota County,Florida,12115,16.2,13,19.8
Kendall County,Illinois,17093,16.2,10.4,23.5
Missoula County,Montana,30063,16.2,12.5,20.1
San Miguel County,Colorado,08113,16.3,9.9,24.7
Yuma County,Colorado,08125,16.3,10.5,24.3
Chattooga County,Georgia,13055,16.3,10.5,23.6
Polk County,Minnesota,27119,16.3,10.6,23.9
Ravalli County,Montana,30081,16.3,11.9,21.7
Catron County,New Mexico,35003,16.3,10.2,23.5
Dare County,North Carolina,37055,16.3,10.8,22.8
Fannin County,Texas,48147,16.3,10.5,24.1
Eau Claire County,Wisconsin,55035,16.3,10.8,22.6
Alameda County,California,06001,16.4,12.2,20.6
Gilpin County,Colorado,08047,16.4,10.2,24.1
Barnstable County,Massachusetts,25001,16.4,13.2,19.9
Gallatin County,Montana,30031,16.4,12.7,20.9
Perkins County,Nebraska,31135,16.4,10.6,23.5
Lincoln County,New Mexico,35027,16.4,10.8,22.6
Brazos County,Texas,48041,16.4,11,22.6
Buckingham County,Virginia,51029,16.4,10.7,23.5
Nantucket County,Massachusetts,25019,16.5,10.4,23.7
Yancey County,North Carolina,37199,16.5,10.7,23.8
Stanley County,South Dakota,46117,16.5,11.1,22.9
Lamar County,Texas,48277,16.5,10.6,23.5
Ashland County,Wisconsin,55003,16.5,11,23.3
Pima County,Arizona,04019,16.6,13.7,19.9
Yavapai County,Arizona,04025,16.6,12.5,21.2
Rio Blanco County,Colorado,08103,16.6,10.5,24.1
Adams County,Illinois,17001,16.6,10.9,24.4
Marshall County,Illinois,17123,16.6,10.2,24.6
Beaverhead County,Montana,30001,16.6,10.9,23.6
Morris County,New Jersey,34027,16.6,13.3,20.4
Albemarle County,Virginia,51003,16.6,11.3,23.2
Kittitas County,Washington,53037,16.6,12.5,21
Albany County,Wyoming,56001,16.6,12.5,21.1
Marin County,California,06041,16.7,11.4,23.5
Moffat County,Colorado,08081,16.7,10.4,24.4
Brown County,Indiana,18013,16.7,10.6,24.9
Powder River County,Montana,30075,16.7,10,25.5
Washoe County,Nevada,32031,16.7,14,19.5
Torrance County,New Mexico,35057,16.7,10.7,24.2
Wichita County,Texas,48485,16.7,11.5,22.9
Santa Cruz County,California,06087,16.8,11.2,23.9
Montrose County,Colorado,08085,16.8,11.6,22.6
Martin County,Florida,12085,16.8,13.5,20.4
Howard County,Iowa,19089,16.8,10.8,24.6
Fleming County,Kentucky,21069,16.8,11.5,23.4
Essex County,New York,36031,16.8,11.2,24
Deaf Smith County,Texas,48117,16.8,10.1,25.5
Lee County,Texas,48287,16.8,10.3,25.1
Giles County,Virginia,51071,16.8,10.5,24.3
Gilmer County,Georgia,13123,16.9,10.9,23.8
Hamilton County,Indiana,18057,16.9,12,22.9
Morton County,Kansas,20129,16.9,10.4,24.9
Lewis And Clark County,Montana,30049,16.9,12.5,21.6
Sweet Grass County,Montana,30097,16.9,11,24.3
Schoharie County,New York,36095,16.9,10.9,24.6
Emmons County,North Dakota,38029,16.9,10.8,25.3
Calaveras County,California,06009,17,10.4,25.4
Nevada County,California,06057,17,10.9,24.3
Garfield County,Colorado,08045,17,11.4,23.6
Gallatin County,Kentucky,21077,17,10.6,25
Cole County,Missouri,29051,17,11.5,24.3
Platte County,Missouri,29165,17,11.4,23.6
Mccone County,Montana,30055,17,10.6,24.6
Bottineau County,North Dakota,38009,17,11.5,23.6
Bristol County,Rhode Island,44001,17,12.5,22
Baylor County,Texas,48023,17,10.7,25.5
Ochiltree County,Texas,48357,17,10.5,25.5
Shelby County,Texas,48419,17,10.6,24.9
