Obesity; Female (Gender); Adults Aged 20+ Years; Crude Percentage; U.S. Counties; 2017
Data downloaded on 24-October-2023
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Bedford City,Virginia,51515,No Data,No Data,No Data
Oglala Lakota County,South Dakota,46102,No Data,No Data,No Data
Wrangell-Petersburg Census Area,Alaska,02280,No Data,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,02232,No Data,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,02201,No Data,No Data,No Data
Kusilvak Census Area,Alaska,02158,No Data,No Data,No Data
Teton County,Wyoming,56039,11.7,7.5,17
Boulder County,Colorado,08013,15,11.9,18.4
Summit County,Utah,49043,15.1,10.9,19.4
Eagle County,Colorado,08037,15.2,9.2,22.6
Marin County,California,06041,15.3,10.1,21.9
Blaine County,Idaho,16013,15.3,9.5,22.3
Santa Fe County,New Mexico,35049,15.5,12.3,19.1
Taos County,New Mexico,35055,15.7,10.1,22.3
New York County,New York,36061,15.7,13.1,18.3
Gunnison County,Colorado,08051,16,9.8,24.1
Summit County,Colorado,08117,16.5,10,24.6
Pitkin County,Colorado,08097,16.8,9.9,24.9
Gallatin County,Montana,30031,17.1,12.8,22.2
Morgan County,Utah,49029,17.2,9.8,25.8
Jefferson County,Washington,53031,17.6,12.4,23.4
Chaffee County,Colorado,08015,17.7,11.2,27
Routt County,Colorado,08107,17.7,11.2,25.6
Teton County,Idaho,16081,17.7,10.6,28
Hampshire County,Massachusetts,25015,17.8,13.3,23.6
San Francisco County,California,06075,17.9,13.4,23.5
Moffat County,Colorado,08081,17.9,11.6,26.8
La Plata County,Colorado,08067,18,12.7,24.2
Montrose County,Colorado,08085,18,11.8,25.4
Oldham County,Kentucky,21185,18.1,11.3,27.3
Williamson County,Tennessee,47187,18.2,12,26.5
Arlington County,Virginia,51013,18.2,13.6,23.5
Broomfield County,Colorado,08014,18.3,12.2,24.9
Douglas County,Nevada,32005,18.3,13.3,24.2
Houghton County,Michigan,26061,18.5,11.8,27
Rawlins County,Kansas,20153,18.6,10.9,27.9
Nevada County,California,06057,18.7,10.9,27.6
Denver County,Colorado,08031,18.8,16.1,21.7
Douglas County,Colorado,08035,18.8,15,23.1
Richland County,Illinois,17159,18.8,11,29.1
Orange County,California,06059,18.9,15.5,22.3
Boyle County,Kentucky,21021,18.9,11.5,28.1
Cumberland County,Maine,23005,19,16.6,21.6
Watauga County,North Carolina,37189,19,11.2,29.6
Daggett County,Utah,49009,19,11.1,31.1
Mineral County,Colorado,08079,19.2,11.4,30.7
Hunterdon County,New Jersey,34019,19.2,15.6,23.6
Placer County,California,06061,19.3,14.1,25.2
Ventura County,California,06111,19.3,14.7,24.8
Martin County,Florida,12085,19.3,15.3,24.2
Stanly County,North Carolina,37167,19.3,11.1,30.8
Bristol County,Rhode Island,44001,19.3,15.2,24.2
Lake County,Colorado,08065,19.4,10.5,30.6
Park County,Colorado,08093,19.4,12.1,28.5
Lemhi County,Idaho,16059,19.4,12.3,27.8
Cook County,Minnesota,27031,19.4,12.1,29.1
Los Alamos County,New Mexico,35028,19.4,13.3,27.5
Stanley County,South Dakota,46117,19.4,11.5,30.1
Bland County,Virginia,51021,19.4,11.5,29.8
Fairfax County,Virginia,51059,19.4,16.1,23.1
Ouray County,Colorado,08091,19.5,11.5,29.8
Cass County,Illinois,17017,19.5,11.6,30.8
Ashe County,North Carolina,37009,19.5,12,29.2
Harper County,Oklahoma,40059,19.5,11.2,30.1
Fairfield County,Connecticut,09001,19.6,17.5,21.9
Morris County,New Jersey,34027,19.6,15.9,23.8
Monterey County,California,06053,19.7,13.2,27.1
Jefferson County,Colorado,08059,19.7,16.9,22.7
Park County,Montana,30067,19.7,13.9,26.8
Esmeralda County,Nevada,32009,19.7,11,29.8
Salem City,Virginia,51775,19.7,11.2,29.2
San Juan County,Colorado,08111,19.8,11.6,30.3
Barnstable County,Massachusetts,25001,19.8,15,24.8
Chatham County,North Carolina,37037,19.8,12.4,28.7
Cooke County,Texas,48097,19.8,11.1,30.1
Santa Clara County,California,06085,19.9,16.1,24
Palm Beach County,Florida,12099,19.9,16,24.1
Habersham County,Georgia,13137,19.9,12,29.3
Boundary County,Idaho,16021,19.9,11.8,29.9
Somerset County,New Jersey,34035,19.9,16.2,23.8
Hyde County,South Dakota,46069,19.9,12.1,30.7
Perry County,Tennessee,47135,19.9,11.4,30.6
Moore County,Texas,48341,19.9,12.3,31
San Juan County,Washington,53055,19.9,13.7,26.9
Custer County,Colorado,08027,20,12.2,30
San Miguel County,Colorado,08113,20,11.5,32.4
Cumberland County,Illinois,17035,20,11.6,31.4
Schoolcraft County,Michigan,26153,20,11.3,30.8
Mcintosh County,North Dakota,38051,20,12,29.1
Zapata County,Texas,48505,20,11.3,32.3
Wayne County,Utah,49055,20,11.7,31.3
Oconee County,Georgia,13219,20.1,11.7,30
Pickens County,Georgia,13227,20.1,12,30.4
Missoula County,Montana,30063,20.1,15.2,25.2
Hayes County,Nebraska,31085,20.1,12.3,30.4
Armstrong County,Texas,48011,20.1,11,30.7
Throckmorton County,Texas,48447,20.1,10.8,32.6
Piute County,Utah,49031,20.1,11.7,31.4
Highland County,Virginia,51091,20.1,10.6,31.6
Bristol City,Virginia,51520,20.1,11,31.1
Tucker County,West Virginia,54093,20.1,12.7,30.3
Hardin County,Illinois,17069,20.2,11.7,31.3
Saline County,Illinois,17165,20.2,11.6,31.3
Golden Valley County,Montana,30037,20.2,11.4,30.6
Wheeler County,Nebraska,31183,20.2,11.9,30.2
Harney County,Oregon,41025,20.2,12.5,30.2
Briscoe County,Texas,48045,20.2,11.5,32
Garza County,Texas,48169,20.2,11.6,31.8
Hale County,Texas,48189,20.2,11.2,30.7
Hamilton County,Texas,48193,20.2,11.4,31.1
Hockley County,Texas,48219,20.2,11.6,31.7
Kinney County,Texas,48271,20.2,11.5,32.6
Real County,Texas,48385,20.2,11.6,32.3
Sterling County,Texas,48431,20.2,11.4,31.4
Ward County,Texas,48475,20.2,11.7,32.2
Galax City,Virginia,51640,20.2,11.3,30.1
Buffalo County,Wisconsin,55011,20.2,11.1,32.2
La Crosse County,Wisconsin,55063,20.2,14.6,26.8
Arkansas County,Arkansas,05001,20.3,13.3,29.6
Collier County,Florida,12021,20.3,16.1,25.1
Harris County,Georgia,13145,20.3,12,31
Brown County,Illinois,17009,20.3,11.6,31.3
Clay County,Illinois,17025,20.3,11.5,31.1
Macoupin County,Illinois,17117,20.3,11.7,30
Perry County,Illinois,17145,20.3,11.5,30.1
Davis County,Iowa,19051,20.3,12.9,30.5
Camden County,Missouri,29029,20.3,12.6,29.1
Daniels County,Montana,30019,20.3,12.1,31.2
Musselshell County,Montana,30065,20.3,12.3,30.9
Love County,Oklahoma,40085,20.3,12.3,30.2
Hancock County,Tennessee,47067,20.3,10.8,32.6
Trousdale County,Tennessee,47169,20.3,11.5,30.1
Gillespie County,Texas,48171,20.3,11.5,31.7
Mills County,Texas,48333,20.3,11.9,31.5
Montague County,Texas,48337,20.3,11.2,32.2
Nolan County,Texas,48353,20.3,11.6,31.4
Swisher County,Texas,48437,20.3,11.8,31
Patrick County,Virginia,51141,20.3,11.3,30.5
Marion County,Arkansas,05089,20.4,12.3,30.1
Long County,Georgia,13183,20.4,12.2,30.5
Iroquois County,Illinois,17075,20.4,11.6,31.5
Jasper County,Illinois,17079,20.4,11.6,31.6
Livingston County,Illinois,17105,20.4,13,30.1
Pope County,Illinois,17151,20.4,11.2,33.3
Mercer County,Kentucky,21167,20.4,12,32.3
Iron County,Michigan,26071,20.4,11.7,31.4
Dent County,Missouri,29065,20.4,11.2,32.2
Banner County,Nebraska,31007,20.4,12.2,31.1
Grant County,Nebraska,31075,20.4,13,30.4
Jerauld County,South Dakota,46073,20.4,11.9,32.5
Cumberland County,Tennessee,47035,20.4,12.8,29.7
Duval County,Texas,48131,20.4,11.2,31.7
Franklin County,Texas,48159,20.4,11.3,32
Hansford County,Texas,48195,20.4,12.5,31.7
Kendall County,Texas,48259,20.4,11.2,32.1
Kent County,Texas,48263,20.4,10.9,32.6
Sherman County,Texas,48421,20.4,11.9,32.4
Zavala County,Texas,48507,20.4,10.5,31.7
Southeast Fairbanks Census Area,Alaska,02240,20.5,12,32.2
Yuma County,Colorado,08125,20.5,12.6,29.8
Mcdonough County,Illinois,17109,20.5,11.5,32.3
Iron County,Missouri,29093,20.5,12.5,31.1
Worth County,Missouri,29227,20.5,11.2,32.5
Thomas County,Nebraska,31171,20.5,12.3,31.5
Bergen County,New Jersey,34003,20.5,16.8,24.6
Hanson County,South Dakota,46061,20.5,11.1,32.3
Brooks County,Texas,48047,20.5,11.3,31.5
Collingsworth County,Texas,48087,20.5,12.4,31.4
Dawson County,Texas,48115,20.5,12.6,31.5
Martin County,Texas,48317,20.5,11.4,31.6
Pecos County,Texas,48371,20.5,11.9,31.7
Reagan County,Texas,48383,20.5,11.3,33.1
Reeves County,Texas,48389,20.5,12.1,33
Scurry County,Texas,48415,20.5,11.4,32.3
