Obesity; Male (Gender); Adults Aged 20+ Years; Crude Percentage; U.S. Counties; 2019
Data downloaded on 24-October-2023
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Bedford City,Virginia,51515,No Data,No Data,No Data
Shannon County,South Dakota,46113,No Data,No Data,No Data
Warren County,New Jersey,34041,No Data,No Data,No Data
Union County,New Jersey,34039,No Data,No Data,No Data
Sussex County,New Jersey,34037,No Data,No Data,No Data
Somerset County,New Jersey,34035,No Data,No Data,No Data
Salem County,New Jersey,34033,No Data,No Data,No Data
Passaic County,New Jersey,34031,No Data,No Data,No Data
Ocean County,New Jersey,34029,No Data,No Data,No Data
Morris County,New Jersey,34027,No Data,No Data,No Data
Monmouth County,New Jersey,34025,No Data,No Data,No Data
Middlesex County,New Jersey,34023,No Data,No Data,No Data
Mercer County,New Jersey,34021,No Data,No Data,No Data
Hunterdon County,New Jersey,34019,No Data,No Data,No Data
Hudson County,New Jersey,34017,No Data,No Data,No Data
Gloucester County,New Jersey,34015,No Data,No Data,No Data
Essex County,New Jersey,34013,No Data,No Data,No Data
Cumberland County,New Jersey,34011,No Data,No Data,No Data
Cape May County,New Jersey,34009,No Data,No Data,No Data
Camden County,New Jersey,34007,No Data,No Data,No Data
Burlington County,New Jersey,34005,No Data,No Data,No Data
Bergen County,New Jersey,34003,No Data,No Data,No Data
Atlantic County,New Jersey,34001,No Data,No Data,No Data
Wrangell-Petersburg Census Area,Alaska,02280,No Data,No Data,No Data
Wade Hampton Census Area,Alaska,02270,No Data,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,02232,No Data,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,02201,No Data,No Data,No Data
San Francisco County,California,06075,12.8,9.4,17.3
Teton County,Wyoming,56039,15.8,10.8,22.2
Summit County,Colorado,08117,16.9,10.8,24.6
Boulder County,Colorado,08013,17.3,13.8,21.5
Valley County,Idaho,16085,18.1,11.7,24.5
New York County,New York,36061,18.1,15.1,21.3
Macon County,Alabama,01087,18.5,11.3,28.2
Eagle County,Colorado,08037,18.5,11.6,26.4
Summit County,Utah,49043,18.5,13.9,23.9
Gallatin County,Montana,30031,18.6,14.8,22.5
Clay County,South Dakota,46027,18.7,11.5,28.1
Marin County,California,06041,18.9,12.6,26.8
Martin County,Florida,12085,19,13.8,24.4
Teton County,Idaho,16081,19,11.7,27.7
Denver County,Colorado,08031,19.1,16.2,22.4
Arlington County,Virginia,51013,19.1,14,25.1
Issaquena County,Mississippi,28055,19.2,10.7,30.3
Calhoun County,Georgia,13037,19.3,11.1,29.6
Claiborne County,Mississippi,28021,19.3,11,29.6
Taliaferro County,Georgia,13265,19.5,11.6,29.4
East Carroll Parish,Louisiana,22035,19.7,11,30.7
Bullock County,Alabama,01011,19.8,11.4,30.7
Nevada County,California,06057,19.8,12.3,28.8
Garfield County,Montana,30033,19.8,11.8,30.3
Emporia City,Virginia,51595,19.8,11.3,29.6
San Mateo County,California,06081,19.9,15,25.8
Yakutat City and Borough,Alaska,02282,20,11.8,30.4
Stewart County,Georgia,13259,20,11.4,31.4
Kalawao County,Hawaii,15005,20,11.9,31.4
Madison Parish,Louisiana,22065,20.1,12.5,30.1
Greene County,Alabama,01063,20.2,12.1,30.3
West Feliciana Parish,Louisiana,22125,20.2,12.1,30.6
Santa Fe County,New Mexico,35049,20.2,16.2,25.1
Charlottesville City,Virginia,51540,20.2,12.2,31.1
Kusilvak Census Area,Alaska,02158,20.3,11.1,32.3
Pitkin County,Colorado,08097,20.3,12.3,30.5
Morehouse Parish,Louisiana,22067,20.3,13.2,29.4
Suffolk County,Massachusetts,25025,20.3,16.9,23.8
San Diego County,California,06073,20.4,17.1,23.7
Gunnison County,Colorado,08051,20.4,12.4,30.3
Routt County,Colorado,08107,20.4,13.4,28.9
Grand County,Utah,49019,20.4,13.5,28.9
Charles City County,Virginia,51036,20.4,12.7,31
Yuma County,Colorado,08125,20.5,13.2,30.5
Washington County,North Carolina,37187,20.5,11.4,32.1
Jasper County,Georgia,13159,20.6,11.9,32.4
Tensas Parish,Louisiana,22107,20.6,11.7,31.1
Taos County,New Mexico,35055,20.6,14.2,27.8
Tyrrell County,North Carolina,37177,20.6,12.3,32.2
Warren County,North Carolina,37185,20.6,11.8,32.2
Hancock County,Georgia,13141,20.7,11.8,30.8
Warren County,Georgia,13301,20.7,11.7,30.9
Bienville Parish,Louisiana,22013,20.7,12.4,31.6
District Of Columbia,District of Columbia,11001,20.8,18.7,22.9
San Juan County,Washington,53055,20.8,14.4,28.3
Webster County,Georgia,13307,20.9,11.6,31
Wilkinson County,Georgia,13319,20.9,11.8,31
Sharkey County,Mississippi,28125,20.9,11.6,30.9
Hooker County,Nebraska,31091,20.9,13,31
Mariposa County,California,06043,21,12.7,30.1
Turner County,Georgia,13287,21,12.2,31.7
Greene County,North Carolina,37079,21,11.8,31.6
Lyman County,South Dakota,46085,21,13,33.3
Morgan County,Tennessee,47129,21,12.8,31.4
Northumberland County,Virginia,51133,21,13.4,29.8
Clinch County,Georgia,13065,21.1,13,32.1
Allen Parish,Louisiana,22003,21.1,12.8,31
Forest County,Pennsylvania,42053,21.1,12.4,32.4
Rockwall County,Texas,48397,21.1,12.6,31.8
Scurry County,Texas,48415,21.1,11.2,32.1
Lancaster County,Virginia,51103,21.1,13.4,31.6
Denali Borough,Alaska,02068,21.2,13.2,32.1
Twiggs County,Georgia,13289,21.2,12.7,32.3
Spencer County,Indiana,18147,21.2,13.1,31.3
Montgomery County,Maryland,24031,21.2,18.8,23.7
Cass County,Texas,48067,21.2,11.4,31.9
Lexington City,Virginia,51678,21.2,12.5,32.3
Crawford County,Georgia,13079,21.3,12.3,32.2
Randolph County,Georgia,13243,21.3,12.8,31.6
Washington County,Georgia,13303,21.3,12.9,32.9
Brown County,Illinois,17009,21.3,12.5,33.8
Wilkinson County,Mississippi,28157,21.3,12.6,33.9
Sierra County,New Mexico,35051,21.3,13.7,30.5
Panola County,Texas,48365,21.3,12.7,32.2
Martinsville City,Virginia,51690,21.3,11.8,32.3
Sublette County,Wyoming,56035,21.3,13.7,29.9
Santa Clara County,California,06085,21.4,17.8,25.4
La Plata County,Colorado,08067,21.4,14.6,29.2
Early County,Georgia,13099,21.4,12.4,32
Taylor County,Georgia,13269,21.4,13,32.6
Alexander County,Illinois,17003,21.4,13.1,33.8
Jones County,North Carolina,37103,21.4,11.9,33.2
Lake County,Tennessee,47095,21.4,12.3,31.7
Childress County,Texas,48075,21.4,12.9,31.9
Falls County,Texas,48145,21.4,11.8,32.1
Inyo County,California,06027,21.5,12.5,31.5
Echols County,Georgia,13101,21.5,11.5,34.5
Terrell County,Georgia,13273,21.5,12.4,32.8
Traverse County,Minnesota,27155,21.5,13.1,32.9
Swain County,North Carolina,37173,21.5,12.4,32.5
Wallowa County,Oregon,41063,21.5,14,32.5
Windham County,Vermont,50025,21.5,17.4,25.7
Petersburg Borough,Alaska,02195,21.6,13.7,30.4
Contra Costa County,California,06013,21.6,17.1,26.3
Baker County,Georgia,13007,21.6,12.5,33.4
Peach County,Georgia,13225,21.6,13.5,32
White County,Georgia,13311,21.6,12.9,33.3
Pulaski County,Illinois,17153,21.6,12.9,31.1
Benton County,Mississippi,28009,21.6,12.1,33.1
Dekalb County,Missouri,29063,21.6,13.5,31.6
Northampton County,North Carolina,37131,21.6,12.6,32.6
Trousdale County,Tennessee,47169,21.6,12.4,33
Jones County,Texas,48253,21.6,13.4,33.6
Bethel Census Area,Alaska,02050,21.7,14.3,30.2
Lake and Peninsula Borough,Alaska,02164,21.7,13.1,32.6
Montezuma County,Colorado,08083,21.7,14.1,30.8
Riley County,Kansas,20161,21.7,16.2,27.6
Red River Parish,Louisiana,22081,21.7,13.6,32
Dawson County,Texas,48115,21.7,13.3,32.9
La Salle County,Texas,48283,21.7,12.8,34
Dade County,Georgia,13083,21.8,12.9,33
Quitman County,Georgia,13239,21.8,12.7,32.2
Benewah County,Idaho,16009,21.8,14.2,30.3
Alger County,Michigan,26003,21.8,13,32.8
Martin County,North Carolina,37117,21.8,12.6,33.4
Perquimans County,North Carolina,37143,21.8,12.5,33.1
Love County,Oklahoma,40085,21.8,13,32.3
Grainger County,Tennessee,47057,21.8,13,32.7
Frio County,Texas,48163,21.8,12.7,34.3
Gregg County,Texas,48183,21.8,13,31.5
Morris County,Texas,48343,21.8,12.9,34.1
Swisher County,Texas,48437,21.8,13,33.7
