Obesity; Total (Total); Adults Aged 20+ Years; Crude Percentage; U.S. Counties; 2006
Data downloaded on 24-October-2023
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Oglala Lakota County,South Dakota,46102,No Data,No Data,No Data
Wrangell City and Borough,Alaska,02275,No Data,No Data,No Data
Skagway Municipality,Alaska,02230,No Data,No Data,No Data
Prince of Wales-Hyder Census Area,Alaska,02198,No Data,No Data,No Data
Petersburg Borough,Alaska,02195,No Data,No Data,No Data
Kusilvak Census Area,Alaska,02158,No Data,No Data,No Data
Hoonah-Angoon Census Area,Alaska,02105,No Data,No Data,No Data
Boulder County,Colorado,08013,13,10.4,15.7
Summit County,Utah,49043,13.1,9.9,16.5
Teton County,Wyoming,56039,13.3,10,17
Santa Fe County,New Mexico,35049,14.3,11.9,17.1
New York County,New York,36061,14.7,12.4,17.3
Douglas County,Colorado,08035,14.9,11.9,18
Blaine County,Idaho,16013,15.7,11.4,20.7
San Juan County,Washington,53055,15.8,12.8,19
Summit County,Colorado,08117,16,10.7,22.9
La Plata County,Colorado,08067,16.2,11.2,21.8
Larimer County,Colorado,08069,16.2,13.2,19.3
San Francisco County,California,06075,16.3,12.2,20.7
Yavapai County,Arizona,04025,16.4,12.7,19.9
Eagle County,Colorado,08037,16.4,11.2,22.5
Montgomery County,Maryland,24031,16.5,14.8,18.4
San Mateo County,California,06081,16.6,12.6,21.7
Missoula County,Montana,30063,16.7,13.8,19.9
Norfolk County,Massachusetts,25021,17,14.6,19.7
Alexandria City,Virginia,51510,17,12.9,21.3
Marin County,California,06041,17.1,12,23.6
Alachua County,Florida,12001,17.2,12.6,22.1
Gallatin County,Montana,30031,17.2,13.9,20.8
Lincoln County,New Mexico,35027,17.2,12.6,22.5
Newport County,Rhode Island,44005,17.2,14.1,20.7
Fremont County,Colorado,08043,17.3,12.4,23.2
Taos County,New Mexico,35055,17.3,13,22.4
Williamson County,Tennessee,47187,17.3,12.4,23.1
Montezuma County,Colorado,08083,17.4,11.5,24
Walworth County,Wisconsin,55127,17.5,12.7,23
Grand County,Colorado,08049,17.6,11.3,24.8
Gunnison County,Colorado,08051,17.6,11.6,24.8
Denver County,Colorado,08031,17.7,15.3,20.5
Deschutes County,Oregon,41017,17.7,14.4,21.5
Johnson County,Wyoming,56019,17.8,12.7,23.6
Jackson County,Colorado,08057,17.9,12.7,24.5
Fayette County,Georgia,13113,17.9,12.6,24
Chester County,Pennsylvania,42029,17.9,13.8,22.1
Grand County,Utah,49019,17.9,12.5,24.2
Wasatch County,Utah,49051,17.9,14.1,21.6
Albany County,Wyoming,56001,17.9,14.4,21.7
Flathead County,Montana,30029,18,15.1,21.1
Douglas County,Nevada,32005,18,14.2,22.5
Arlington County,Virginia,51013,18,13.8,22.6
Fairfield County,Connecticut,09001,18.1,16.6,19.6
St. Johns County,Florida,12109,18.1,13.6,23.2
Jackson Parish,Louisiana,22049,18.1,12,24.9
Cumberland County,Maine,23005,18.1,15.6,20.5
Westchester County,New York,36119,18.1,14.8,21.6
Foster County,North Dakota,38031,18.1,12.5,25.5
Jefferson County,Colorado,08059,18.2,15.9,21
Los Alamos County,New Mexico,35028,18.2,13.4,23.5
Chaffee County,Colorado,08015,18.3,12.4,25.6
Indian River County,Florida,12061,18.3,13.3,23.9
Fillmore County,Minnesota,27045,18.3,12.2,26.3
Wythe County,Virginia,51197,18.4,12.5,25.4
Nemaha County,Kansas,20131,18.5,12.4,25
Somerset County,New Jersey,34035,18.5,15.9,21.2
Wayne County,Pennsylvania,42127,18.5,12,25.7
Chittenden County,Vermont,50007,18.5,16.8,20.3
Effingham County,Georgia,13103,18.6,13.2,26
Hunterdon County,New Jersey,34019,18.6,15.9,21.5
Routt County,Colorado,08107,18.7,12.7,25.7
Broward County,Florida,12011,18.7,16.3,21.4
Manatee County,Florida,12081,18.7,14.4,22.9
Morris County,New Jersey,34027,18.7,16.4,21.4
Essex County,New York,36031,18.7,12.4,25.8
Steele County,North Dakota,38091,18.7,12.7,26.2
Morgan County,Utah,49029,18.7,12.2,27
Jefferson County,Washington,53031,18.7,15.6,22.1
Santa Clara County,California,06085,18.8,15.4,22.5
Pitkin County,Colorado,08097,18.8,12.4,26.4
Palm Beach County,Florida,12099,18.8,15.7,21.9
Keokuk County,Iowa,19107,18.8,12.5,26.6
Logan County,Kansas,20109,18.8,12.2,26.8
Barnstable County,Massachusetts,25001,18.8,15.4,22.3
Powder River County,Montana,30075,18.8,12.7,26.3
Benton County,Oregon,41003,18.8,14.5,23.3
Elbert County,Colorado,08039,18.9,12.8,26.2
Talbot County,Maryland,24041,18.9,15.1,23.3
Union County,New Mexico,35059,18.9,13,26.8
Madison County,Ohio,39097,18.9,12.2,27.1
Broomfield County,Colorado,08014,19,13.9,25.4
Montrose County,Colorado,08085,19,13.2,25.6
Sarasota County,Florida,12115,19,14.7,23.6
Dukes County,Massachusetts,25007,19,13.1,25.9
Ravalli County,Montana,30081,19,14.9,23.1
Nassau County,New York,36059,19,15.9,22.4
Young County,Texas,48503,19,12.9,27.1
Delta County,Colorado,08029,19.1,13.5,25.6
Hall County,Georgia,13139,19.1,13.5,24.7
Christian County,Missouri,29043,19.1,13.5,26.2
Madison County,Montana,30057,19.1,13.9,25.3
Knox County,Ohio,39083,19.1,12.4,26.7
Lawrence County,South Dakota,46081,19.1,15.2,23.4
Butler County,Alabama,01013,19.2,12.8,27.4
Orange County,California,06059,19.2,16.4,22.2
Carroll County,Iowa,19027,19.2,13.5,27
Cortland County,New York,36023,19.2,12.7,26.6
Currituck County,North Carolina,37053,19.2,13.1,26
Murray County,Oklahoma,40099,19.2,12.9,26.4
Dewitt County,Texas,48123,19.2,12.8,27.4
Flagler County,Florida,12035,19.3,16.2,22.8
Bartow County,Georgia,13015,19.3,13.6,26.1
Lincoln County,Idaho,16063,19.3,12.6,26.8
Lawrence County,Illinois,17101,19.3,12.7,26.2
Carbon County,Montana,30009,19.3,13.5,26.4
Bernalillo County,New Mexico,35001,19.3,17.1,21.5
Webb County,Texas,48479,19.3,13.2,26.8
Manassas City,Virginia,51683,19.3,12.9,27.3
Calaveras County,California,06009,19.4,12.7,27.3
